date,title,description,content,link
"Thứ hai, 18/3/2019",['\nCó nên mua Galaxy S10+ không? '],"['Tôi rất thích điện thoại của Samsung, nhưng Galaxy S10+ mới ra giá cao quá, không biết có nên mua không hay mua bản S9+ năm ngoái.']","
Tôi là tín đồ của điện thoại Samsung. Tôi đang dùng một máy dòng A của em trai để lại. Giờ tôi muốn mua một máy cao cấp hơn, mua một lần dùng luôn mấy năm không đổi nữa. Tôi thì thích Galaxy S10+ hoặc Galaxy S9+, nhưng S10+ mới ra thì còn đắt quá mà không biết có hơn gì S9+ nhiều không?
Theo các bạn tôi nên mua máy nào.
Cảm ơn các bạn nhiều.
<strong>Golden Screen</strong><br/><em>Truongphuc@...</em>",https://vnexpress.net/so-hoa/co-nen-mua-galaxy-s10-khong-3896142.html
"Thứ hai, 18/3/2019",['\nCó nên mua Galaxy S10+ không? '],"['Tôi rất thích điện thoại của Samsung, nhưng Galaxy S10+ mới ra giá cao quá, không biết có nên mua không hay mua bản S9+ năm ngoái.']","
Tôi là tín đồ của điện thoại Samsung. Tôi đang dùng một máy dòng A của em trai để lại. Giờ tôi muốn mua một máy cao cấp hơn, mua một lần dùng luôn mấy năm không đổi nữa. Tôi thì thích Galaxy S10+ hoặc Galaxy S9+, nhưng S10+ mới ra thì còn đắt quá mà không biết có hơn gì S9+ nhiều không?
Theo các bạn tôi nên mua máy nào.
Cảm ơn các bạn nhiều.
<strong>Golden Screen</strong><br/><em>Truongphuc@...</em>",https://vnexpress.net/so-hoa/co-nen-mua-galaxy-s10-khong-3896142.html
"Thứ năm, 18/10/2018",['\nTech Offline Galaxy A7 tại cửa hàng trải nghiệm Samsung '],['Các tín đồ công nghệ có cơ hội nhận loa bluetooth và thẻ điện thoại khi tham gia trải nghiệm Samsung Galaxy A7 vào ngày 20/10 tới tại TP HCM.'],"
Đến với cửa hàng trải nghiệm Samsung, khách hàng còn nhận được rất nhiều ưu đãi khi mua sản phẩm. Khi đặt trước Galaxy A7, khách hàng sẽ nhận được quà tặng <span style=""color:rgb(34,34,34);"">bao gồm tai nghe JBL Bluetooth T450BT, quà tặng Galaxy trị giá 700.000 đồng, 90 ngày xem phim miễn phí cùng Fim+ kèm bảo hiểm rơi vỡ 6 tháng. Ngoài ra, khách hàng mua </span>Galaxy S9|S9+ <span style=""color:rgb(34,34,34);"">còn được giảm 3,5 triệu đồng và tặng kèm tai nghe </span><span style=""color:rgb(34,34,34);"">Bluetooth Level U chính hãng. Khách hàng mua Galaxy Note 9 sẽ được nhận</span><span style=""color:rgb(34,34,34);""> tai nghe Bluetooth Level U chính hãng.</span>
Đăng ký tham gia chương trình tại đây: <a href=""https://goo.gl/forms/nsB9ATvoTddD50VX2"" rel=""nofollow"">https://goo.gl/forms/nsB9ATvoTddD50VX2</a>
Thời gian: Thứ Bảy ngày 20/10/2018
Khung giờ: từ 10AM đến 12PM
Địa điểm: SES Metropolitan, 235 Đồng Khởi, Bến Nghé, Quận 1, TP HCM.",https://vnexpress.net/so-hoa/tech-offline-galaxy-a7-tai-cua-hang-trai-nghiem-samsung-3825347.html
"Thứ năm, 18/10/2018",['\nTech Offline Galaxy A7 tại cửa hàng trải nghiệm Samsung '],['Các tín đồ công nghệ có cơ hội nhận loa bluetooth và thẻ điện thoại khi tham gia trải nghiệm Samsung Galaxy A7 vào ngày 20/10 tới tại TP HCM.'],"
Đến với cửa hàng trải nghiệm Samsung, khách hàng còn nhận được rất nhiều ưu đãi khi mua sản phẩm. Khi đặt trước Galaxy A7, khách hàng sẽ nhận được quà tặng <span style=""color:rgb(34,34,34);"">bao gồm tai nghe JBL Bluetooth T450BT, quà tặng Galaxy trị giá 700.000 đồng, 90 ngày xem phim miễn phí cùng Fim+ kèm bảo hiểm rơi vỡ 6 tháng. Ngoài ra, khách hàng mua </span>Galaxy S9|S9+ <span style=""color:rgb(34,34,34);"">còn được giảm 3,5 triệu đồng và tặng kèm tai nghe </span><span style=""color:rgb(34,34,34);"">Bluetooth Level U chính hãng. Khách hàng mua Galaxy Note 9 sẽ được nhận</span><span style=""color:rgb(34,34,34);""> tai nghe Bluetooth Level U chính hãng.</span>
Đăng ký tham gia chương trình tại đây: <a href=""https://goo.gl/forms/nsB9ATvoTddD50VX2"" rel=""nofollow"">https://goo.gl/forms/nsB9ATvoTddD50VX2</a>
Thời gian: Thứ Bảy ngày 20/10/2018
Khung giờ: từ 10AM đến 12PM
Địa điểm: SES Metropolitan, 235 Đồng Khởi, Bến Nghé, Quận 1, TP HCM.",https://vnexpress.net/so-hoa/tech-offline-galaxy-a7-tai-cua-hang-trai-nghiem-samsung-3825347.html
"Thứ hai, 1/10/2018",['\nGiá smartphone cao cấp giảm hàng loạt khi iPhone mới xuất hiện '],"['Giá bán của Galaxy Note8, S9 hay Sony Xperia XZ2, BlackBerry Key2 cũng như các mẫu iPhone đời cũ đều biến động mạnh trong tháng 9.']","
Cả ba model cao cấp Galaxy S9, S9+ và Note8 đều vừa có mức giảm lớn trên kệ hàng chính hãng. Mới ra mắt đầu năm, giá của Galaxy S9+ tại một số cửa hàng ở Hà Nội đầu tháng 10 đã xuống dưới 20 triệu đồng, còn lần lượt là 19,1 và 19,99 triệu đồng cho bản 64 GB và 128 GB. Cả hai đều thấp hơn mức niêm yết của hãng tới 4,5 triệu đồng. Phiên bản màn hình nhỏ hơn, Galaxy S9, cũng được điều chỉnh giảm hơn 4 triệu đồng so với niêm yết, xuống còn 16 triệu đồng. 
Galaxy Note8, model cao cấp ra mắt từ năm ngoái và giờ đã có bản nâng cấp Note9, cũng giảm sâu. Nếu đầu tháng 9, giá của Note8 vẫn còn ở mức 17,6 triệu đồng và cao hơn Galaxy S9 cùng thời điểm, thì hiện giờ, giá máy đã xuống còn 14,7 triệu đồng. 
Bên cạnh đó, các mẫu smartphone cao cấp trên của Samsung còn gặp tình trạng loạn giá bán lẻ, chênh lệch giữa các cửa hàng có thể lên tới 2 đến 3 triệu đồng từng model. 
Không chỉ dòng Galaxy cao cấp, nhiều smartphone Android cao cấp nửa tháng trở lại đây cũng có biến động về giá. Ví dụ, mẫu P20 Pro của Huawei sau khi hạ từ 20 triệu đồng xuống 17,5 triệu đồng, giờ giá đầu tháng 10 đã xuống dưới 17 triệu đồng. BlackBerry Key2 cũng còn 15,9 triệu đồng thay vì 17 triệu đồng. 
Trong tháng 9, thị trường smartphone cao cấp trong nước cũng chứng kiến màn giảm giá xả hàng của hàng loạt mẫu điện thoại <a href=""https://vnexpress.net/so-hoa/nhieu-smartphone-sony-giam-gia-hang-trieu-dong-3810687.html"">Sony Xperia</a>. Trong đó, chú ý nhất là model cao cấp Xperia XZ2 mới ra mắt được 6 tháng mà đã giảm tới gần chục triệu đồng, từ mức niêm yết 20 triệu đồng xuống còn 11 triệu đồng. 
Việc iPhone mới bắt đầu về Việt Nam đã tác động mạnh tới thị trường smartphone cao cấp ở Việt Nam, kể cả với iPhone đời cũ.
Tại hai chuỗi phân phối iPhone chính hãng FPT Shop và Thế Giới Di Động, giá niêm yết của iPhone X cũng lần đầu được điều chỉnh xuống thấp hơn mức cũ, 3 triệu đồng, còn lần lượt 26,99 và 31,8 triệu đồng cho bản 64 GB và 256 GB. Trong khi đó, tại một số cửa hàng và hệ thống nhỏ hơn, giá bán của iPhone X phân phối chính hãng tiếp tục giảm khoảng 300.000 đến 500.000 đồng so với đầu tháng 9, xuống còn 23,7 triệu đồng cho bản 64 GB.
Đại diện một hệ thống bán lẻ lớn ở Hà Nội cho biết, từ giữa tháng 9, doanh số những dòng máy Android cao cấp tại hệ thống của họ chỉ bằng 1/3 các tháng trước. Ngay cả Note9, model từng bán rất chạy hồi cuối tháng 8 và đầu tháng 9 cũng bị ảnh hưởng nặng. Vì thế hiện tại, họ cũng phải bán thấp hơn giá niêm yết của hãng 2 đến 2,5 triệu đồng. ",https://vnexpress.net/so-hoa/gia-smartphone-cao-cap-giam-hang-loat-khi-iphone-moi-xuat-hien-3817509.html
"Thứ hai, 1/10/2018",['\nGiá smartphone cao cấp giảm hàng loạt khi iPhone mới xuất hiện '],"['Giá bán của Galaxy Note8, S9 hay Sony Xperia XZ2, BlackBerry Key2 cũng như các mẫu iPhone đời cũ đều biến động mạnh trong tháng 9.']","
Cả ba model cao cấp Galaxy S9, S9+ và Note8 đều vừa có mức giảm lớn trên kệ hàng chính hãng. Mới ra mắt đầu năm, giá của Galaxy S9+ tại một số cửa hàng ở Hà Nội đầu tháng 10 đã xuống dưới 20 triệu đồng, còn lần lượt là 19,1 và 19,99 triệu đồng cho bản 64 GB và 128 GB. Cả hai đều thấp hơn mức niêm yết của hãng tới 4,5 triệu đồng. Phiên bản màn hình nhỏ hơn, Galaxy S9, cũng được điều chỉnh giảm hơn 4 triệu đồng so với niêm yết, xuống còn 16 triệu đồng. 
Galaxy Note8, model cao cấp ra mắt từ năm ngoái và giờ đã có bản nâng cấp Note9, cũng giảm sâu. Nếu đầu tháng 9, giá của Note8 vẫn còn ở mức 17,6 triệu đồng và cao hơn Galaxy S9 cùng thời điểm, thì hiện giờ, giá máy đã xuống còn 14,7 triệu đồng. 
Bên cạnh đó, các mẫu smartphone cao cấp trên của Samsung còn gặp tình trạng loạn giá bán lẻ, chênh lệch giữa các cửa hàng có thể lên tới 2 đến 3 triệu đồng từng model. 
Không chỉ dòng Galaxy cao cấp, nhiều smartphone Android cao cấp nửa tháng trở lại đây cũng có biến động về giá. Ví dụ, mẫu P20 Pro của Huawei sau khi hạ từ 20 triệu đồng xuống 17,5 triệu đồng, giờ giá đầu tháng 10 đã xuống dưới 17 triệu đồng. BlackBerry Key2 cũng còn 15,9 triệu đồng thay vì 17 triệu đồng. 
Trong tháng 9, thị trường smartphone cao cấp trong nước cũng chứng kiến màn giảm giá xả hàng của hàng loạt mẫu điện thoại <a href=""https://vnexpress.net/so-hoa/nhieu-smartphone-sony-giam-gia-hang-trieu-dong-3810687.html"">Sony Xperia</a>. Trong đó, chú ý nhất là model cao cấp Xperia XZ2 mới ra mắt được 6 tháng mà đã giảm tới gần chục triệu đồng, từ mức niêm yết 20 triệu đồng xuống còn 11 triệu đồng. 
Việc iPhone mới bắt đầu về Việt Nam đã tác động mạnh tới thị trường smartphone cao cấp ở Việt Nam, kể cả với iPhone đời cũ.
Tại hai chuỗi phân phối iPhone chính hãng FPT Shop và Thế Giới Di Động, giá niêm yết của iPhone X cũng lần đầu được điều chỉnh xuống thấp hơn mức cũ, 3 triệu đồng, còn lần lượt 26,99 và 31,8 triệu đồng cho bản 64 GB và 256 GB. Trong khi đó, tại một số cửa hàng và hệ thống nhỏ hơn, giá bán của iPhone X phân phối chính hãng tiếp tục giảm khoảng 300.000 đến 500.000 đồng so với đầu tháng 9, xuống còn 23,7 triệu đồng cho bản 64 GB.
Đại diện một hệ thống bán lẻ lớn ở Hà Nội cho biết, từ giữa tháng 9, doanh số những dòng máy Android cao cấp tại hệ thống của họ chỉ bằng 1/3 các tháng trước. Ngay cả Note9, model từng bán rất chạy hồi cuối tháng 8 và đầu tháng 9 cũng bị ảnh hưởng nặng. Vì thế hiện tại, họ cũng phải bán thấp hơn giá niêm yết của hãng 2 đến 2,5 triệu đồng. ",https://vnexpress.net/so-hoa/gia-smartphone-cao-cap-giam-hang-loat-khi-iphone-moi-xuat-hien-3817509.html
"Thứ sáu, 28/9/2018",['\nGiá iPhone Xs Max 2 sim vật lý xuống dưới 30 triệu đồng '],"['Sau một tuần, giá smartphone cao cấp nhất của Apple hàng từ Hong Kong, Trung Quốc dùng 2 sim vật lý đã giảm bằng nửa lúc mới về Việt Nam.']","
Sáng 21/9, những chiếc iPhone Xs Max hàng Hong Kong, Trung Quốc dùng 2 sim vật lý đầu tiên về Việt Nam được ""hét"" giá từ <span style=""color:#0000ff;""><a href=""https://vnexpress.net/so-hoa/gia-iphone-xs-max-ngay-dau-o-viet-nam-chenh-lech-hang-chuc-trieu-dong-3812962.html"">60 đến 80 triệu đồng</a>. </span>Hôm nay, 28/9, sau đúng một tuần, sản phẩm này tại một số cửa hàng ở TP HCM chỉ còn dưới 30 triệu đồng với dung lượng 64 GB. Mức giá của các model 256 GB và 512 GB bản 2 sim lần lượt là 33,5 và 42 triệu đồng.
Bên cạnh đó, thị trường cũng xuất hiện tình trạng mỗi giá một màu. Phiên bản màu vàng Gold, phổ biến nhất trong đợt hàng đầu giờ lại có giá bán thấp hơn màu đen Space Gray và trắng Silver từ 300.000 đến 500.000 đồng.
Ông Quốc Tuấn, đại diện hệ thống iShop cho rằng việc giá bán của iPhone Xs Max 2 sim giảm nhiều như vậy là do thị trường có thêm nhiều nguồn hàng khác nhau. Nếu thời gian đầu, iPhone Xs bản 2 sim (hàng Hong Kong) được đẩy giá cao hơn 2 triệu đồng so với bản 1 sim (hàng Singapore), hiện giờ ngược lại, giá của bản 2 sim lại thấp hơn.  
Theo nhiều cửa hàng kinh doanh iPhone ở Hà Nội và TP HCM, 70% lượng Xs Max bán ra trong tuần qua là bản 2 sim. Việc có thể gắn cùng lúc 2 sim là tính năng mới lần đầu xuất hiện trên iPhone nên được nhiều người quan tâm. 
Ngoài Xs Max 2 sim, giá bản Xs 1 sim cũng giảm nhanh chỉ sau một tuần có mặt ở Việt Nam. Phiên bản 64 GB được một cửa hàng ở TP HCM chào giá 26,6 triệu đồng, ngang iPhone X chính hãng. Bản 256 GB và 512 GB lần lượt là 30,6 và 36,9 triệu đồng. Với thiết kế không khác biệt nhiều so với iPhone X và chỉ thêm màu vàng, mức quan tâm và sức tiêu thụ của iPhone Xs trong thời gian đầu xuất hiện ở Việt Nam được cho là <a href=""https://vnexpress.net/so-hoa/iphone-xs-that-sung-tai-viet-nam-3814071.html"">rất kém</a>. 
Thị trường iPhone Xs và Xs Max xách tay ở Việt Nam sẽ còn nhiều biến động cho tới cuối tháng 10 khi máy chính hãng về nước. Theo công bố của hệ thống FPT Shop, giá dự kiến iPhone Xs và Xs Max chính hãng lần lượt là 30 và 33 triệu đồng.
Năm nay, các mẫu iPhone Xs và Xs Max đều hỗ trợ 2 sim. Tuy nhiên, iPhone Xs Max từ các thị trường còn lại như Mỹ, Singapore... sử dụng một khay sim vật lý và một esim (sim điện tử), hiện giờ mới chỉ dùng được một sim ở Việt Nam giống các thế hệ trước. C<span></span><span>hỉ phiên bản dành cho Trung Quốc, Hong Kong và Macau mới có thể gắn cùng lúc 2 sim vật lý, nên có thể sử dụng được ở Việt Nam. </span>",https://vnexpress.net/so-hoa/gia-iphone-xs-max-2-sim-vat-ly-xuong-duoi-30-trieu-dong-3816222.html
"Thứ năm, 23/8/2018",['\nNên mua Galaxy S9+ cũ hay Galaxy Note9 '],"['Giá bán của Galaxy S9+ và Galaxy Note9 chênh lệch rất nhiều nhưng tính năng tương đương, tôi đang khá phân vân.']","
Tôi đang có một số tiền đủ để mua Galaxy Note9 và đã đặt hàng máy. Tuy nhiên, bạn bè tư vấn cho tôi là các tính năng của nó với Galaxy S9+ không khác nhau nhiều, đều là camera kép, cấu hình tương đương... ngoại trừ bút S Pen.
Theo tham khảo của tôi, giá Galaxy S9+ cũ chỉ khoảng 14 đến 15 triệu đồng, còn bảo hành hơn nửa năm, trong khi Galaxy Note9 gần 23 triệu đồng. Liệu tôi có nên hủy tiền cọc để mua máy này? Mong các bạn tư vấn.
<strong>Vũ</strong>",https://vnexpress.net/so-hoa/nen-mua-galaxy-s9-cu-hay-galaxy-note9-3796851.html
"Thứ năm, 23/8/2018",['\nNên mua Galaxy S9+ cũ hay Galaxy Note9 '],"['Giá bán của Galaxy S9+ và Galaxy Note9 chênh lệch rất nhiều nhưng tính năng tương đương, tôi đang khá phân vân.']","
Tôi đang có một số tiền đủ để mua Galaxy Note9 và đã đặt hàng máy. Tuy nhiên, bạn bè tư vấn cho tôi là các tính năng của nó với Galaxy S9+ không khác nhau nhiều, đều là camera kép, cấu hình tương đương... ngoại trừ bút S Pen.
Theo tham khảo của tôi, giá Galaxy S9+ cũ chỉ khoảng 14 đến 15 triệu đồng, còn bảo hành hơn nửa năm, trong khi Galaxy Note9 gần 23 triệu đồng. Liệu tôi có nên hủy tiền cọc để mua máy này? Mong các bạn tư vấn.
<strong>Vũ</strong>",https://vnexpress.net/so-hoa/nen-mua-galaxy-s9-cu-hay-galaxy-note9-3796851.html
"Thứ tư, 8/8/2018",['\nSamsung chú trọng trải nghiệm người dùng smartphone cao cấp '],"['Bộ đôi S9 được người dùng đánh giá cao về trải nghiệm sử dụng nhờ thiết kế thống nhất, cấu hình cao, camera nhiều tính năng.']","
<span style=""color:#222222;"">Galaxy S và Galaxy Note là hai dòng smartphone cao cấp nhất của Samsung, được hãng ưu tiên nâng cấp thiết kế lẫn tính năng cao cấp nhất qua từng năm để tạo đối trọng với iPhone của Apple. Sau gần một thập kỷ phát triển, chiếc Galaxy S9+ thể hiện những cải tiến vượt trội của hãng trong nhiều khía cạnh: thiết kế, camera, trải nghiệm, tính năng.</span>
<span style=""color:#222222;"">Kể từ chiếc Galaxy thế hệ thứ 8, Samsung đã đưa vào sản phẩm thiết kế mang triết lý thống nhất (Oneness). Cụ thể ở mọi thành phần để hoàn thiện sản phẩm, hãng đều tạo ra sự đồng bộ từ vật liệu, màu sắc cho đến các tỷ lệ công nghiệp, nhằm tạo ra trải nghiệm sử dụng thoải mái nhất cho người dùng.</span>
Theo anh Ngọc Minh - nhân viên thiết kế, bộ đôi S9 và S9+ đã hoàn chỉnh triết lý này hơn so với Galaxy S8, thể hiện qua độ cong đồng bộ giữa các góc bo viền màn hình hoặc đường cong khung viền, khiến cảm giác cầm nắm của anh rất thoải mái. Anh cũng chọn phiên bản Galaxy S9+ Hoàng kim bởi ưng ý vật liệu bóng phủ nhám mới satin gloss finish, cho mặt lưng bóng bẩy như kính nhưng hạn chế bám dính vân tay.
""Tôi có thói quen dùng máy trần, không dùng ốp lưng, nhưng việc bám dấu vân tay khắp mặt lưng là điểm trừ. Với satin gloss finish trên S9+ Hoàng kim, tôi không còn lo sợ mặt kính nhem nhuốc"", anh Ngọc Minh cho biết.
Bên cạnh cải tiến ở phần ngoại hình, Galaxy S9 và S9+ còn sở hữu nhiều ưu điểm ở cụm camera, cấu hình phần cứng, khiến smartphone này liên tục lọt vào danh sách điện thoại đầu bảng đáng mua nhất trong 2018 của Samsung.
Bộ đôi dòng S ra mắt 2018 được coi là bước tiến của Samsung trong thời đại nhiếp ảnh di động lên ngôi. Camera chính của trên Galaxy S9+ gồm hai cảm biến, một độ phân giải 12 megapixel, khẩu độ thay đổi giữa hai mức f/1.5 và f/2.4 như máy ảnh DSLR, công nghệ lấy nét Dual Pixel PDAF. Cảm biến còn lại là có phân giải 12 meagpixel. Cả hai đều có khả năng chống rung quang học.
""Tôi rất ngạc nhiên với rất nhiều khả năng mà camera mà Galaxy S9 mang lại. Không chỉ mang lại những bức ảnh đẹp, nó còn giúp tôi phát huy tối đa khả năng sáng tạo. Giờ đây, nếu không quá cần thiết, đây sẽ là chiếc máy tôi sử dụng nhiều cho chụp ảnh"", nhiếp ảnh gia Maika nói về trải nghiệm nhiếp ảnh khi model vừa về Việt Nam.
Galaxy S9 và S9+ cũng giới thiệu ra thị trường tính năng quay video siêu chậm (super slow motion) 960 khung hình một giây, lần đầu tiên xuất hiện trên smartphone nhà Samsung. Những chuyển động trong thời gian chưa đến một giây được máy ghi nhận và xử lý thành đoạn video chậm gấp 32 lần. Tính năng này tạo ra những trải nghiệm mới mẻ cho người dùng, trong khi <span style=""color:#222222;"">video slow-mo trên iPhone chỉ quay ở mức 240fps.</span>
Vân Anh - MC trẻ tại Đà Nẵng từng cho biết, tính năng quay chậm trên Galaxy S9 quả thực gây nghiện khi có thể ghi lại những cảm xúc hay thần thái đỉnh cao mà bình thường không ""chộp"" lại được. Trên trang Facebook cá nhân, cô cũng chia sẻ những đoạn video siêu chậm bay lơ lửng độc đáo và vui nhộn này.
Trong khi đó, nhiếp ảnh gia Lê Tâm (quận 12, TP HCM) cho biết khả năng quay video super slow motion tạo ấn tượng trên Galaxy S9+, phù hợp cho người thích thực hiện vlog trong các chuyến du lịch khám phá, bắt những khoảnh khắc điện ảnh.
""Mong là hãng sẽ có những cái tiến mới cho tính năng này, chẳng hạn như nâng cao độ phân giải hoặc thời lượng trên các model tương lai"", anh Lê Tâm nhấn mạnh.
Tại thời điểm ra mắt, hai smartphone này còn thuộc danh sách các smartphone sở hữu cấu hình mạnh nhất thị trường với chipset 9810, RAM 6GB, bộ nhớ trong lên đến 256GB. Viên pin 3.500mAh trên chiếc S9+ cũng được nhiều chuyên trang như <em>PhoneArena</em>... đánh giá là một trong những di động cho thời lượng sử dụng tốt.
Chiếc flagship mới nhất sắp ra mắt Galaxy Note của Samsung cũng thu hút sự chú ý của giới công nghệ lẫn đông đảo người dùng. Với những hình ảnh và video rò rỉ, có thể thấy nhiều ưu điểm của bộ đôi S9 đã được hãng cải tiến trên chiếc Note9.
Cụ thể, Samsung tiếp tục làm đậm triết lý thống nhất thông qua việc loại bỏ tông đen cho cụm camera kép, thay bằng lớp kính phủ lớp quang học cùng màu với mặt lưng. Hiệu năng ở chiếc Galaxy Note thế hệ mới cũng được đồn đoán sẽ mạnh mẽ hơn với RAM 8GB, chipset chipset Snapdragon 845 hoặc Exynos 9810, bộ nhớ trong 512GB đi kèm khả năng mở rộng thẻ nhớ 512GB. Viên pin 4.000mAh cao hơn 3.500mAh của S9+ nhằm giúp người dùng thoải mái sử dụng cả ngày.
Galaxy Note9 cũng sở hữu camera kép tương tự Galaxy S9+ nhưng nâng cấp về thông số, vẫn cho phép chuyển đổi khẩu độ, quay video super slow-motion ở tốc độ 960 khung hình một giây nhưng tăng gấp đôi về thời lượng.",https://vnexpress.net/so-hoa/samsung-chu-trong-trai-nghiem-nguoi-dung-smartphone-cao-cap-3787991.html
