date,title,description,content,link
"Thứ năm, 29/8/2019",['\nBộ đôi Galaxy Note 10/10+ đọ cấu hình cùng đàn anh '],['Samsung liên tục nâng cấp các máy trong dòng Galaxy Note về cả tính năng và phần cứng.'],,https://vnexpress.net/so-hoa/bo-doi-galaxy-note-10-10-do-cau-hinh-cung-dan-anh-3974612.html
"Thứ năm, 29/8/2019",['\nBộ đôi Galaxy Note 10/10+ đọ cấu hình cùng đàn anh '],['Samsung liên tục nâng cấp các máy trong dòng Galaxy Note về cả tính năng và phần cứng.'],,https://vnexpress.net/so-hoa/bo-doi-galaxy-note-10-10-do-cau-hinh-cung-dan-anh-3974612.html
"Thứ sáu, 15/12/2017",['\nTrải nghiệm trước Android 8.0 Oreo trên Galaxy Note8 '],['Người dùng Galaxy Note8 có thể trải nghiệm trước Android 8.0 Oreo mới nhất trong khi đợi bản chính thức từ Samsung.'],"
Samsung đã phát hành bản thử nghiệm (beta) của Android 8.0 Oreo cho Galaxy S8. Tuy nhiên, phiên bản Android mới nhất vẫn chưa được triển khai cho Note8. Nhưng nếu nóng lòng muốn trải nghiệm, người dùng có thể tải về một phiên bản tương tự trên GadgetHacks và tự mình khám phá những tính năng mới nhất của hệ điều hành này.
Trước khi cài đặt, người dùng cần chuẩn bị Galaxy Note8 phiên bản Mỹ (dùng vi xử lý Snapdragon), thẻ nhớ microSD và cài sẵn ứng dụng quản lý tệp (như Solid Explorer). Bởi không chính thức nên phiên bản này vẫn tồn tại một số lỗi, như không thể phóng to hình ảnh khi quay bằng camera, kính thực tế ảo Gear VR không hoạt động, thời lượng pin kém hơn, không tương thích với một số ứng dụng bên thứ ba… Do đó, trước khi quyết định cài, người dùng nên sao lưu dữ liệu.
Tiếp theo, tải về <a href=""https://samsung.firmware.science/download?url=48993/1488/SS-N950USQU2BQJA-to-S2BQK2-UP"" target=""_blank"">phần mềm Nougat BQK2</a> và lưu nó trên thẻ nhớ microSD. Sau đó, mở ứng dụng quản lý tệp và lưu lại với tên “update.zip”. Sau đó tắt Galaxy Note8 và bật lại ở chế độ phục hồi (Recovery Mode) bằng cách nhấn và giữ đồng thời 3 phím nguồn, âm lượng và Bixby trong vài giây, thả khi màn hình chuyển sang mày xanh và linh vật Android xuất hiện.
Sau khi các tùy chọn xuất hiện, dùng phím âm lượng chuyển đến “Apply update from SD card” (Áp dụng cập nhật từ thẻ nhớ SD) và nhấn phím nguồn để xác nhận. Ở menu mới, nhấn vào tệp “update.zip”. Sau đó, đợi thiết bị cài đặt và khởi động lại.
Bước tiếp theo là tải firmware của Oreo về <a href=""https://drive.google.com/file/d/1xTtsn6gcg4JEX2dYKPiXTWVhPiGPzIBn/view"" rel=""nofollow"">tại đây</a>, lưu lại với tên nào đó bạn muốn và thực hiện lại các bước đã nêu trên. Quá trình cài đặt hệ điều hành mới sẽ mất khoảng 10 phút. Sau đó thiết bị khởi động lại một lần nữa.
Như vậy, bạn đã có thể trải nghiệm trước hệ điều hành Android 8.0 Oreo trên Galaxy Note8. Đây là nền tảng được đánh giá có nhiều nâng cấp hơn so với Android 7.0 Nougat, như khả năng giới hạn ứng dụng chạy nền, tính năng Picture-in-Picture (PIP) giúp người dùng có thể tiếp tục xem video trong khi trả lời cuộc gọi, Adaptive Icons hỗ trợ các nhà phát triển có thể tạo biểu tượng tùy ý, hỗ trợ codec LDAC cho chất lượng âm thanh tốt hơn… Ngoài ra, hệ điều hành cũng tinh chỉnh, áp dụng các thuật toán mới hỗ trợ trải nghiệm người dùng tốt hơn, cũng như nâng cao hiệu suất thiết bị so với trước đó.
<strong>Lâm Anh</strong>",https://vnexpress.net/so-hoa/trai-nghiem-truoc-android-8-0-oreo-tren-galaxy-note8-3684995.html
"Thứ sáu, 15/12/2017",['\nTrải nghiệm trước Android 8.0 Oreo trên Galaxy Note8 '],['Người dùng Galaxy Note8 có thể trải nghiệm trước Android 8.0 Oreo mới nhất trong khi đợi bản chính thức từ Samsung.'],"
Samsung đã phát hành bản thử nghiệm (beta) của Android 8.0 Oreo cho Galaxy S8. Tuy nhiên, phiên bản Android mới nhất vẫn chưa được triển khai cho Note8. Nhưng nếu nóng lòng muốn trải nghiệm, người dùng có thể tải về một phiên bản tương tự trên GadgetHacks và tự mình khám phá những tính năng mới nhất của hệ điều hành này.
Trước khi cài đặt, người dùng cần chuẩn bị Galaxy Note8 phiên bản Mỹ (dùng vi xử lý Snapdragon), thẻ nhớ microSD và cài sẵn ứng dụng quản lý tệp (như Solid Explorer). Bởi không chính thức nên phiên bản này vẫn tồn tại một số lỗi, như không thể phóng to hình ảnh khi quay bằng camera, kính thực tế ảo Gear VR không hoạt động, thời lượng pin kém hơn, không tương thích với một số ứng dụng bên thứ ba… Do đó, trước khi quyết định cài, người dùng nên sao lưu dữ liệu.
Tiếp theo, tải về <a href=""https://samsung.firmware.science/download?url=48993/1488/SS-N950USQU2BQJA-to-S2BQK2-UP"" target=""_blank"">phần mềm Nougat BQK2</a> và lưu nó trên thẻ nhớ microSD. Sau đó, mở ứng dụng quản lý tệp và lưu lại với tên “update.zip”. Sau đó tắt Galaxy Note8 và bật lại ở chế độ phục hồi (Recovery Mode) bằng cách nhấn và giữ đồng thời 3 phím nguồn, âm lượng và Bixby trong vài giây, thả khi màn hình chuyển sang mày xanh và linh vật Android xuất hiện.
Sau khi các tùy chọn xuất hiện, dùng phím âm lượng chuyển đến “Apply update from SD card” (Áp dụng cập nhật từ thẻ nhớ SD) và nhấn phím nguồn để xác nhận. Ở menu mới, nhấn vào tệp “update.zip”. Sau đó, đợi thiết bị cài đặt và khởi động lại.
Bước tiếp theo là tải firmware của Oreo về <a href=""https://drive.google.com/file/d/1xTtsn6gcg4JEX2dYKPiXTWVhPiGPzIBn/view"" rel=""nofollow"">tại đây</a>, lưu lại với tên nào đó bạn muốn và thực hiện lại các bước đã nêu trên. Quá trình cài đặt hệ điều hành mới sẽ mất khoảng 10 phút. Sau đó thiết bị khởi động lại một lần nữa.
Như vậy, bạn đã có thể trải nghiệm trước hệ điều hành Android 8.0 Oreo trên Galaxy Note8. Đây là nền tảng được đánh giá có nhiều nâng cấp hơn so với Android 7.0 Nougat, như khả năng giới hạn ứng dụng chạy nền, tính năng Picture-in-Picture (PIP) giúp người dùng có thể tiếp tục xem video trong khi trả lời cuộc gọi, Adaptive Icons hỗ trợ các nhà phát triển có thể tạo biểu tượng tùy ý, hỗ trợ codec LDAC cho chất lượng âm thanh tốt hơn… Ngoài ra, hệ điều hành cũng tinh chỉnh, áp dụng các thuật toán mới hỗ trợ trải nghiệm người dùng tốt hơn, cũng như nâng cao hiệu suất thiết bị so với trước đó.
<strong>Lâm Anh</strong>",https://vnexpress.net/so-hoa/trai-nghiem-truoc-android-8-0-oreo-tren-galaxy-note8-3684995.html
"Thứ bảy, 25/11/2017",['\nCơ hội nhận Galaxy Note 8 khi mua sản phẩm Samsung '],"['Khách hàng mua sản phẩm tủ lạnh, điều hòa, máy giặt thương hiệu Samsung giá từ hai triệu đồng trở lên có cơ hội trúng Galaxy Note 8.']","
Từ nay đến 21/1/2018, khi mua bất kỳ sản phẩm tủ lạnh, điều hòa, máy giặt thương hiệu Samsung tại hệ thống siêu thị điện máy Pico với giá từ hai triệu đồng trở lên, khách hàng sẽ được tham gia chương trình khuyến mại “Bốc thăm trúng thưởng 10 siêu phẩm Galaxy Note 8”.",https://vnexpress.net/so-hoa/co-hoi-nhan-galaxy-note-8-khi-mua-san-pham-samsung-3675515.html
"Thứ bảy, 25/11/2017",['\nCơ hội nhận Galaxy Note 8 khi mua sản phẩm Samsung '],"['Khách hàng mua sản phẩm tủ lạnh, điều hòa, máy giặt thương hiệu Samsung giá từ hai triệu đồng trở lên có cơ hội trúng Galaxy Note 8.']","
Từ nay đến 21/1/2018, khi mua bất kỳ sản phẩm tủ lạnh, điều hòa, máy giặt thương hiệu Samsung tại hệ thống siêu thị điện máy Pico với giá từ hai triệu đồng trở lên, khách hàng sẽ được tham gia chương trình khuyến mại “Bốc thăm trúng thưởng 10 siêu phẩm Galaxy Note 8”.",https://vnexpress.net/so-hoa/co-hoi-nhan-galaxy-note-8-khi-mua-san-pham-samsung-3675515.html
"Thứ năm, 12/10/2017",['\nGalaxy Note8 thắng áp đảo iPhone 8 Plus trong bình chọn camera '],"['Di động của Samsung cho màu sắc tươi hơn, sáng hơn và khả năng chụp trong tối cũng tốt hơn đối thủ.\xa0']","
<a href=""https://vnexpress.net/so-hoa/anh-chup-thu-tu-iphone-8-plus-va-galaxy-note-8-3653069.html"" style=""margin: 0px; padding: 0px; box-sizing: border-box; text-rendering: geometricPrecision; color: rgb(0, 79, 139); text-decoration-line: none;""><span style=""margin:0px;padding:0px;color:rgb(0,0,255);""><strong style=""margin:0px;padding:0px;"">Xem lại loạt ảnh chụp thử của hai máy</strong></span></a>",https://vnexpress.net/so-hoa/galaxy-note8-thang-ap-dao-iphone-8-plus-trong-binh-chon-camera-3654240.html
"Thứ năm, 12/10/2017",['\nGalaxy Note8 thắng áp đảo iPhone 8 Plus trong bình chọn camera '],"['Di động của Samsung cho màu sắc tươi hơn, sáng hơn và khả năng chụp trong tối cũng tốt hơn đối thủ.\xa0']","
<a href=""https://vnexpress.net/so-hoa/anh-chup-thu-tu-iphone-8-plus-va-galaxy-note-8-3653069.html"" style=""margin: 0px; padding: 0px; box-sizing: border-box; text-rendering: geometricPrecision; color: rgb(0, 79, 139); text-decoration-line: none;""><span style=""margin:0px;padding:0px;color:rgb(0,0,255);""><strong style=""margin:0px;padding:0px;"">Xem lại loạt ảnh chụp thử của hai máy</strong></span></a>",https://vnexpress.net/so-hoa/galaxy-note8-thang-ap-dao-iphone-8-plus-trong-binh-chon-camera-3654240.html
"Thứ hai, 9/10/2017",['\niPhone 8 Plus đọ camera với Galaxy Note8 '],['Cả hai đều sở hữu camera độ phân giải 12 megapixel. ống kính kép cùng khả năng chụp xóa phông như máy ảnh chuyên nghiệp.\xa0'],"
Galaxy Note8 ra mắt vào đầu tháng 8, sớm hơn đối thủ trực tiếp là iPhone 8 Plus đúng một tháng nhưng cả hai lại bán ra thị trường gần như cùng thời điểm. Đây là những model đối đầu trực tiếp với khá nhiều điểm tương đồng về cấu hình camera và tính năng nhấn mạnh nhất đều là khả năng chụp xóa phông ấn tượng. 
Cả hai cùng có độ phân giải camera là 12 megapixel nhưng Note8 có độ mở tốt hơn f/1.7 so với f/1.8 của iPhone 8 Plus. Di động của Samsung có ống kính góc rộng 26 mm, ống kính thứ hai là 52 mm f/2.4, hỗ trợ chống rung quang học, đèn flash LED hai tông màu. Trong khi đó, model của Apple có ống kính góc rộng 28 mm, ống kính thứ hai là 56 mm f/2.8, hỗ trợ lấy nét theo pha, 4 đèn flash. 
<a href=""https://vnexpress.net/so-hoa/anh-chup-thu-tu-iphone-8-plus-va-galaxy-note-8-3653069.html""><span style=""color:#0000ff;""><strong>Xem thêm ảnh chụp thử của hai máy</strong></span></a>
Ở các thử nghiệm, hai máy đều để chế độ chụp tự động, cài đặt mặc định, không bật hiệu ứng, lấy nét và đo sáng cùng vào một điểm, thời điểm và góc chụp gần tương đương. Cả hai máy đều tắt chế độ HDR (chỉ bật trong một số tình huống nhất định) và để tỷ lệ hình là 4:3 ở độ phân giải cao nhất hỗ trợ (12 megapixel).
Ảnh chụp từ hai máy được thu về cùng một kích thước (chiều ngang 1.200 pixel) nhưng giữ nguyên chất lượng ảnh cũng như ẩn thông tin Exif. Để đảm bảo tính công bằng, tên các máy được giấu kín.
Độc giả sẽ bình chọn model chụp đẹp nhất dựa trên loạt ảnh chụp thử mà không bị ảnh hưởng bởi thương hiệu sản phẩm.",https://vnexpress.net/so-hoa/iphone-8-plus-do-camera-voi-galaxy-note8-3653082.html
"Thứ hai, 9/10/2017",['\niPhone 8 Plus đọ camera với Galaxy Note8 '],['Cả hai đều sở hữu camera độ phân giải 12 megapixel. ống kính kép cùng khả năng chụp xóa phông như máy ảnh chuyên nghiệp.\xa0'],"
Galaxy Note8 ra mắt vào đầu tháng 8, sớm hơn đối thủ trực tiếp là iPhone 8 Plus đúng một tháng nhưng cả hai lại bán ra thị trường gần như cùng thời điểm. Đây là những model đối đầu trực tiếp với khá nhiều điểm tương đồng về cấu hình camera và tính năng nhấn mạnh nhất đều là khả năng chụp xóa phông ấn tượng. 
Cả hai cùng có độ phân giải camera là 12 megapixel nhưng Note8 có độ mở tốt hơn f/1.7 so với f/1.8 của iPhone 8 Plus. Di động của Samsung có ống kính góc rộng 26 mm, ống kính thứ hai là 52 mm f/2.4, hỗ trợ chống rung quang học, đèn flash LED hai tông màu. Trong khi đó, model của Apple có ống kính góc rộng 28 mm, ống kính thứ hai là 56 mm f/2.8, hỗ trợ lấy nét theo pha, 4 đèn flash. 
<a href=""https://vnexpress.net/so-hoa/anh-chup-thu-tu-iphone-8-plus-va-galaxy-note-8-3653069.html""><span style=""color:#0000ff;""><strong>Xem thêm ảnh chụp thử của hai máy</strong></span></a>
Ở các thử nghiệm, hai máy đều để chế độ chụp tự động, cài đặt mặc định, không bật hiệu ứng, lấy nét và đo sáng cùng vào một điểm, thời điểm và góc chụp gần tương đương. Cả hai máy đều tắt chế độ HDR (chỉ bật trong một số tình huống nhất định) và để tỷ lệ hình là 4:3 ở độ phân giải cao nhất hỗ trợ (12 megapixel).
Ảnh chụp từ hai máy được thu về cùng một kích thước (chiều ngang 1.200 pixel) nhưng giữ nguyên chất lượng ảnh cũng như ẩn thông tin Exif. Để đảm bảo tính công bằng, tên các máy được giấu kín.
Độc giả sẽ bình chọn model chụp đẹp nhất dựa trên loạt ảnh chụp thử mà không bị ảnh hưởng bởi thương hiệu sản phẩm.",https://vnexpress.net/so-hoa/iphone-8-plus-do-camera-voi-galaxy-note8-3653082.html
