date,title,description,content,link
"Thứ năm, 22/8/2019",['\nNhững lỗi nghiêm trọng ở sản phẩm Apple '],"['Nhiều laptop và iPhone đã bị Apple triệu hồi vì lỗi pin, sập nguồn hay màn hình hở sáng, trong 3 năm qua.']",,https://vnexpress.net/so-hoa/nhung-loi-nghiem-trong-o-san-pham-apple-3971234.html
"Thứ năm, 22/8/2019",['\nNhững lỗi nghiêm trọng ở sản phẩm Apple '],"['Nhiều laptop và iPhone đã bị Apple triệu hồi vì lỗi pin, sập nguồn hay màn hình hở sáng, trong 3 năm qua.']",,https://vnexpress.net/so-hoa/nhung-loi-nghiem-trong-o-san-pham-apple-3971234.html
"Thứ tư, 21/8/2019",['\nCục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay '],['Hành khách và thành viên tổ bay không được mang theo các mẫu MacBook Pro 15 inch sản xuất từ tháng 9/2015 đến tháng 2/2017.\xa0'],"
Cục Hàng không Việt Nam cấm vận chuyển laptop 15 inch của Apple dưới mọi hình thức, bao gồm đem theo lên khoang máy bay, hành lý ký gửi hay thông qua đường hàng hóa. Hành khách làm trái quy định có thể bị từ chối vận chuyển và xử phạt.
Trên chuyến bay, nếu tổ bay phát hiện có máy tính trong diện bị cấm, người sở hữu phải tắt nguồn máy tính, không sạc pin và tuân thủ các yêu cầu hàng không.
Trước đó, ngày 14/8, Cục Hàng không Liên bang Mỹ (FAA) đã đưa ra lệnh cấm tương tự với MacBook Pro 15 inch của Apple, bán từ giữa năm 2015 đến tháng 2/2017. 
<span>Các mẫu MacBook Pro nói trên có pin không an toàn, trong một số trường hợp có thể bị quá nóng và gây rủi ro cháy nổ.</span>
Để xem số serial của máy, người dùng bấm vào logo Apple ở góc trái màn hình và chọn ""About this Mac"". Để xác định thiết bị của mình có trong diện thu hồi không, truy cập <a href=""https://support.apple.com/15-inch-macbook-pro-battery-recall"" rel=""nofollow"">trang của Apple</a> và nhập số serial.
Nếu sản phẩm có tên trong danh sách, người dùng phải ngừng sử dụng theo khuyến cáo của Apple và gửi máy tới trung tâm dịch vụ của hãng để sửa chữa miễn phí. Thời gian xử lý có thể mất 1-2 tuần.
Vào tháng 6, Apple bắt đầu chương trình thu hồi và thay thế tự nguyện pin cho MacBook Pro 15 inch được bán từ tháng 9/2015 đến 2/2017 do lỗi quá nhiệt. Công ty công nghệ Mỹ nói chỉ ""số lượng hạn chế"" máy bị ảnh hưởng. Các mẫu MacBook Pro 13 inch sản xuất trong cùng khoảng thời gian không gặp vấn đề trên. ",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
"Thứ tư, 15/5/2019",['\nBây giờ còn nên mua iPhone 8 Plus không? '],['iPhone 8 Plus chính hãng giờ còn 17 triệu đồng thì có nên mua không?'],,https://vnexpress.net/so-hoa/bay-gio-con-nen-mua-iphone-8-plus-khong-3923957.html
"Thứ tư, 15/5/2019",['\nBây giờ còn nên mua iPhone 8 Plus không? '],['iPhone 8 Plus chính hãng giờ còn 17 triệu đồng thì có nên mua không?'],,https://vnexpress.net/so-hoa/bay-gio-con-nen-mua-iphone-8-plus-khong-3923957.html
"Thứ tư, 13/3/2019",['\nNên mua iPhone X (64 GB) hay iPhone 8 (256 GB)? '],['Tôi dự định mua một trong 2 smartphone trên.'],,https://vnexpress.net/so-hoa/nen-mua-iphone-x-64-gb-hay-iphone-8-256-gb-3893819.html
"Thứ tư, 13/3/2019",['\nNên mua iPhone X (64 GB) hay iPhone 8 (256 GB)? '],['Tôi dự định mua một trong 2 smartphone trên.'],,https://vnexpress.net/so-hoa/nen-mua-iphone-x-64-gb-hay-iphone-8-256-gb-3893819.html
"Thứ bảy, 3/11/2018",['\nApple bắt đầu bán iPhone 8 tân trang '],"['iPhone 8/8 Plus ""refurbished"" được bán với giá khởi điểm 499 USD, thấp hơn 100 USD so với hàng mới.']","
Theo <em>9to5toys</em>, Apple bắt đầu bán các mẫu iPhone 8 và 8 Plus đã được tân trang. Các thiết bị có màu xám, bạc và vàng với cấu hình bộ nhớ 64 GB. Giá khởi điểm là 499 USD cho iPhone 8 và 599 USD cho iPhone 8 Plus. So với giá mua mới của iPhone 8 là 599 USD và iPhone 8 Plus là 699 USD, người dùng tiết kiệm được 100 USD.
Tất cả sản phẩm tân trang đã được Apple kiểm tra và chứng nhận. Thiết bị cũng đi kèm một viên pin hoàn toàn mới, chế độ bảo hành một năm và các phụ kiện chính hãng.
Refurbished (hàng tân trang) là những sản phẩm vì nhiều lý do phải trả về nhà sản xuất, như bị trầy xước trong quá trình vận chuyển, hàng trưng bày... Nhà sản xuất sẽ kiểm tra, sửa chữa sau đó đóng gói như mới rồi bán ra thị trường.
Theo nhiều chuyên gia, dù iPhone ""refurbished"" được Apple đảm bảo về chất lượng mức giảm 100 USD vẫn chưa thực sự quá đáng kể. Người dùng nên cân nhắc liệu có sẵn sàng dùng iPhone tân trang khi hàng mới chỉ đắt hơn 100 USD.",https://vnexpress.net/so-hoa/apple-bat-dau-ban-iphone-8-tan-trang-3833803.html
"Thứ bảy, 3/11/2018",['\nApple bắt đầu bán iPhone 8 tân trang '],"['iPhone 8/8 Plus ""refurbished"" được bán với giá khởi điểm 499 USD, thấp hơn 100 USD so với hàng mới.']","
Theo <em>9to5toys</em>, Apple bắt đầu bán các mẫu iPhone 8 và 8 Plus đã được tân trang. Các thiết bị có màu xám, bạc và vàng với cấu hình bộ nhớ 64 GB. Giá khởi điểm là 499 USD cho iPhone 8 và 599 USD cho iPhone 8 Plus. So với giá mua mới của iPhone 8 là 599 USD và iPhone 8 Plus là 699 USD, người dùng tiết kiệm được 100 USD.
Tất cả sản phẩm tân trang đã được Apple kiểm tra và chứng nhận. Thiết bị cũng đi kèm một viên pin hoàn toàn mới, chế độ bảo hành một năm và các phụ kiện chính hãng.
Refurbished (hàng tân trang) là những sản phẩm vì nhiều lý do phải trả về nhà sản xuất, như bị trầy xước trong quá trình vận chuyển, hàng trưng bày... Nhà sản xuất sẽ kiểm tra, sửa chữa sau đó đóng gói như mới rồi bán ra thị trường.
Theo nhiều chuyên gia, dù iPhone ""refurbished"" được Apple đảm bảo về chất lượng mức giảm 100 USD vẫn chưa thực sự quá đáng kể. Người dùng nên cân nhắc liệu có sẵn sàng dùng iPhone tân trang khi hàng mới chỉ đắt hơn 100 USD.",https://vnexpress.net/so-hoa/apple-bat-dau-ban-iphone-8-tan-trang-3833803.html
"Thứ năm, 1/11/2018","['\niOS 12.1 có thể khiến iPhone X, iPhone 8 chạy chậm đi ']",['Bản cập nhật mới thêm vào tính năng điều chỉnh bộ vi xử lý cho dòng smartphone mà Apple phát hành năm ngoái.'],"
Trên <a href=""https://vnexpress.net/so-hoa/apple-phat-hanh-ios-12-1-cho-iphone-ipad-3831895.html"">iOS 12.1</a>, ngoài các tiện ích mới được giới thiệu rộng rãi như FaceTime nhóm, bổ sung hàng loạt emoji, Apple còn âm thầm thêm vào Performance Management để quản lý hiệu suất cho iPhone 8, 8 Plus và iPhone X. Đây là tính năng gây tranh cãi mà trước đó chỉ áp dụng cho dòng iPhone 6, 6s và 7.
Cuối 2017, người dùng phát hiện iPhone của họ chạy chậm đi sau khi nâng cấp hệ điều hành. Apple sau đó thừa nhận đã làm chậm smartphone thông qua bản cập nhật phần mềm, nhằm ngăn việc máy bị tắt nguồn đột ngột. Kết quả là các mẫu iPhone đời cũ thường hoạt động kém hơn sau khi lên iOS mới nhất.
Trước sự phản ứng của khách hàng, Apple đã phải đưa ra chương trình thay pin miễn phí. Đồng thời với iOS 11.3 trở đi, hãng thêm menu <em>Battery Health </em>trong phần cài đặt cho riêng các mẫu iPhone 6 đến iPhone 7. Còn từ iOS 12.1 mới được Apple phát hành, tính năng này cũng có trên iPhone 8, 8 Plus và iPhone X.
Như vậy, phần mềm mới có thể khiến các mẫu iPhone đời 2017 của Apple chạy chậm đi, nhằm tránh tình trạng máy sập nguồn đột ngột. Tuy nhiên, công ty công nghệ Mỹ nói rằng ""quản lý hiệu suất có thể ít đáng kể với iPhone 8, 8 Plus và X do thiết kế phần cứng và phần mềm tối ưu hơn"".
Người dùng có thể kiểm tra hiệu suất iPhone bằng cách vào <em>Settings &gt; Battery &gt; Battery Health</em>. Nếu điện thoại có pin kém, máy sẽ kích hoạt Performance Management để tối ưu trải nghiệm nhưng bạn có thể tắt nó đi để dùng với hiệu suất cao nhất, đi kèm là nguy cơ iPhone bị sập nguồn đột ngột.",https://vnexpress.net/so-hoa/ios-12-1-co-the-khien-iphone-x-iphone-8-chay-cham-di-3832517.html
