date,title,description,content,link
"Thứ hai, 14/10/2019",['\nApple ngày càng thiếu sáng tạo '],['Bộ ba iPhone 11 không có những tính năng đột phá mà chỉ dựa vào công nghệ quen thuộc như camera.'],"
iPhone 11 Pro và Pro Max đều được trang bị cụm ba camera nhưng đây không phải tính năng mới. Thậm chí, Appe còn là một trong những nhà sản xuất tích hợp camera góc rộng trên smartphone muộn nhất. Từ năm 2016, LG đã mang ống kính góc rộng lên mẫu G5 và V20. Đến 2019, Samsung giới thiệu Galaxy S10 và S10+với tính năng tương tự. Không chỉ camera, Samsung còn thử nghiệm một loạt công nghệ mới như màn hình dẻo, giao diện mobile chạy trên máy tính, điều khiển bằng cử chỉ... từ năm ngoái.
Theo <em>CNBC</em>, Apple, công ty tạo nên xu hướng smartphone hiện đại, đang phụ thuộc vào công nghệ đã quá quen thuộc với khách hàng mà thiếu đi sự đột phá. Dù vậy, cải thiện những công nghệ quen thuộc vẫn đem tới nhiều lợi ích cho dòng sản phẩm iPhone.
Hầu hết các công nghệ mới đều xuất hiện trước trên Android, sau đó được Apple học hỏi. Motorola sản xuất smartphone có cảm biến vân tay từ năm 2011 trên mẫu Atrix 4G, hai năm sau Apple ra mắt iPhone 5S với tính năng tương tự. Năm 2011, Samsung nhảy vào thị trường phablet với Galaxy Note thì ba năm sau, Apple mới có mở rộng kích cỡ màn hình trên các phiên bản Plus và Max cho iPhone.
Việc đi đầu không đi đồng nghĩa với chất lượng sản phẩm tốt. Ví dụ Galaxy Fold, Samsung nằm trong số những hãng đầu tiên cho ra đời điện thoại với màn hình dẻo, thu hút nhiều sự chú ý trong ngành công nghệ. Tuy vậy, Galaxy Fold vẫn còn tồn tại nhiều vấn đề liên quan đến màn hình và cơ chế gập mở.
Apple hiểu khách hàng muốn gì. Một nghiên cứu cho thấy camera là một trong những năm tính năng trên smartphone được khách hàng đánh giá là quan trọng nhất. Hãng ghi nhận điều này bằng cải tiến trên các mẫu iPhone 11 mới ra mắt. Bên cạnh đó, nghiên cứu còn đưa ra các tiêu chí như thời lượng pin, độ dễ sử dụng, bộ nhớ và độ bền. Tất cả cũng được nhấn mạnh trong lễ ra mắt iPhone hồi tháng 9. 
Khi nhìn vào lịch sử phát triển của Apple, ở vị thế kiến tạo nên smartphone thời hiện đại, hãng bị đánh giá là gây thất vọng khi không có đột phá ở dòng iPhone mới. Tuy vậy, việc phán xét quyết định của hãng không đơn giản bởi hiện tại, họ vẫn chiếm 41% thị phần smartphone ở Mỹ. Người dùng chỉ có thể tiếp tục chờ vào các sản phẩm mới mà Apple giới thiệu trong năm 2020 để biết thêm về câu trả lời.
<strong>Đức Trí</strong>",https://vnexpress.net/so-hoa/apple-ngay-cang-thieu-sang-tao-3996445.html
"Thứ hai, 14/10/2019",['\nApple ngày càng thiếu sáng tạo '],['Bộ ba iPhone 11 không có những tính năng đột phá mà chỉ dựa vào công nghệ quen thuộc như camera.'],"
iPhone 11 Pro và Pro Max đều được trang bị cụm ba camera nhưng đây không phải tính năng mới. Thậm chí, Appe còn là một trong những nhà sản xuất tích hợp camera góc rộng trên smartphone muộn nhất. Từ năm 2016, LG đã mang ống kính góc rộng lên mẫu G5 và V20. Đến 2019, Samsung giới thiệu Galaxy S10 và S10+với tính năng tương tự. Không chỉ camera, Samsung còn thử nghiệm một loạt công nghệ mới như màn hình dẻo, giao diện mobile chạy trên máy tính, điều khiển bằng cử chỉ... từ năm ngoái.
Theo <em>CNBC</em>, Apple, công ty tạo nên xu hướng smartphone hiện đại, đang phụ thuộc vào công nghệ đã quá quen thuộc với khách hàng mà thiếu đi sự đột phá. Dù vậy, cải thiện những công nghệ quen thuộc vẫn đem tới nhiều lợi ích cho dòng sản phẩm iPhone.
Hầu hết các công nghệ mới đều xuất hiện trước trên Android, sau đó được Apple học hỏi. Motorola sản xuất smartphone có cảm biến vân tay từ năm 2011 trên mẫu Atrix 4G, hai năm sau Apple ra mắt iPhone 5S với tính năng tương tự. Năm 2011, Samsung nhảy vào thị trường phablet với Galaxy Note thì ba năm sau, Apple mới có mở rộng kích cỡ màn hình trên các phiên bản Plus và Max cho iPhone.
Việc đi đầu không đi đồng nghĩa với chất lượng sản phẩm tốt. Ví dụ Galaxy Fold, Samsung nằm trong số những hãng đầu tiên cho ra đời điện thoại với màn hình dẻo, thu hút nhiều sự chú ý trong ngành công nghệ. Tuy vậy, Galaxy Fold vẫn còn tồn tại nhiều vấn đề liên quan đến màn hình và cơ chế gập mở.
Apple hiểu khách hàng muốn gì. Một nghiên cứu cho thấy camera là một trong những năm tính năng trên smartphone được khách hàng đánh giá là quan trọng nhất. Hãng ghi nhận điều này bằng cải tiến trên các mẫu iPhone 11 mới ra mắt. Bên cạnh đó, nghiên cứu còn đưa ra các tiêu chí như thời lượng pin, độ dễ sử dụng, bộ nhớ và độ bền. Tất cả cũng được nhấn mạnh trong lễ ra mắt iPhone hồi tháng 9. 
Khi nhìn vào lịch sử phát triển của Apple, ở vị thế kiến tạo nên smartphone thời hiện đại, hãng bị đánh giá là gây thất vọng khi không có đột phá ở dòng iPhone mới. Tuy vậy, việc phán xét quyết định của hãng không đơn giản bởi hiện tại, họ vẫn chiếm 41% thị phần smartphone ở Mỹ. Người dùng chỉ có thể tiếp tục chờ vào các sản phẩm mới mà Apple giới thiệu trong năm 2020 để biết thêm về câu trả lời.
<strong>Đức Trí</strong>",https://vnexpress.net/so-hoa/apple-ngay-cang-thieu-sang-tao-3996445.html
"Thứ bảy, 12/10/2019",['\niPhone 11 Pro thua smartphone Huawei trong bài thi âm thanh '],"['iPhone 11 Pro Max đạt 71 điểm, trong khi Huawei Mate 20 X đạt 75 điểm trong bài đo chất lượng âm thanh của DxOMark.']","
Đây là hạng mục đo mới được DxOMark công bố ngày 10/10. Trong lần đầu thử nghiệm, đơn vị này đã chọn ra 7 thiết bị cao cấp nhất trên thị trường điện thoại, đến từ 5 nhà sản xuất khác nhau, đó là các mẫu điện thoại: Apple iPhone 11 Pro Max, iPhone XS Max, Samsung Galaxy Note 10+, Galaxy S10 +, Honor 20 Pro, Huawei Mate 20 X và Sony Xperia 1.
Các chuyên gia của DxOMark đã kiểm tra chất lượng của sản phẩm ở khả năng thu và phát âm thanh, với các bài đo về âm sắc, âm lượng, sự cân bằng trong chất âm, độ méo tiếng...
Kết quả thu được cho thấy Mate 20 X của Huawei đạt kết quả cao nhất, sau đó đến iPhone XS Max và iPhone 11 Pro Max với điểm số lần lượt 75, 74 và 71. Trong khi đó, các smartphone còn lại đến từ Samsung, Honor và Sony lại đạt điểm số khá thấp, tất cả đều dưới 70. Mẫu Xperia 1 của Sony thậm chí chỉ đạt 45 điểm.
<strong>Lưu Quý</strong>",https://vnexpress.net/so-hoa/iphone-11-pro-thua-smartphone-huawei-trong-bai-thi-am-thanh-3995662.html
"Thứ bảy, 12/10/2019",['\niPhone 11 Pro thua smartphone Huawei trong bài thi âm thanh '],"['iPhone 11 Pro Max đạt 71 điểm, trong khi Huawei Mate 20 X đạt 75 điểm trong bài đo chất lượng âm thanh của DxOMark.']","
Đây là hạng mục đo mới được DxOMark công bố ngày 10/10. Trong lần đầu thử nghiệm, đơn vị này đã chọn ra 7 thiết bị cao cấp nhất trên thị trường điện thoại, đến từ 5 nhà sản xuất khác nhau, đó là các mẫu điện thoại: Apple iPhone 11 Pro Max, iPhone XS Max, Samsung Galaxy Note 10+, Galaxy S10 +, Honor 20 Pro, Huawei Mate 20 X và Sony Xperia 1.
Các chuyên gia của DxOMark đã kiểm tra chất lượng của sản phẩm ở khả năng thu và phát âm thanh, với các bài đo về âm sắc, âm lượng, sự cân bằng trong chất âm, độ méo tiếng...
Kết quả thu được cho thấy Mate 20 X của Huawei đạt kết quả cao nhất, sau đó đến iPhone XS Max và iPhone 11 Pro Max với điểm số lần lượt 75, 74 và 71. Trong khi đó, các smartphone còn lại đến từ Samsung, Honor và Sony lại đạt điểm số khá thấp, tất cả đều dưới 70. Mẫu Xperia 1 của Sony thậm chí chỉ đạt 45 điểm.
<strong>Lưu Quý</strong>",https://vnexpress.net/so-hoa/iphone-11-pro-thua-smartphone-huawei-trong-bai-thi-am-thanh-3995662.html
"Thứ bảy, 12/10/2019",['\nLượng đặt hàng iPhone 11 vượt 19.000 máy sau 2 tuần '],['Lượng đặt hàng bộ 3 iPhone 11 chính hãng tại Việt Nam đã rất cao dù chưa công bố giá và đầu tháng 11 mới bán ra thị trường.'],"
Đến trưa 11/10, trang web của hai hệ thống bán lẻ lớn nhất thị trường trong nước, Thế giới di động và FPT Shop, đã ghi nhận số lượng đơn hàng đặt mua ba mẫu iPhone 11 đã đạt 7.500 và 8.500. Số lượng đặt cọc bằng tiền cũng được gần 4.500 máy ở cả hai đơn vị. Hệ thống CelphoneS cũng được 1.500 đơn đặt cọc trong tổng số hơn 3.200 đơn đặt mua dòng iPhone 11.
So với năm ngoái, lượng đơn hàng mua bộ ba iPhone năm nay tăng mạnh hơn dù thông tin chính thức về giá hay ngày bán của các sản phẩm vẫn chưa có. Theo một số nhà bán lẻ, phải tới nửa cuối tháng 10, bộ ba sản phẩm này mới chốt giá chính thức và đầu tháng 11 mới về Việt Nam. 
Tổng đơn hàng của ba nhà bán lẻ trên không hề thua kém với bộ đôi <a href=""https://vnexpress.net/so-hoa/doanh-so-galaxy-note10-10-o-viet-nam-dat-ky-luc-cua-samsung-3971947.html"" rel=""dofollow"">Galaxy Note 10</a> của Samsung cuối tháng 8 vừa rồi. 
So với Galaxy Note 10 và Note 10+, iPhone 11 có nhiều phiên bản và giá bán cũng đắt hơn. Dòng sản phẩm này có ba mẫu: 11, 11 Pro và 11 Pro Max. Giá dự kiến từ 22 triệu đồng cho tới 44 triệu đồng. 
<strong><a href=""https://vnexpress.net/so-hoa/gia-iphone-11-chinh-hang-cao-nhat-44-trieu-dong-3980480.html"" rel=""dofollow"">Giá dự kiến iPhone 11 chính hãng ở Việt Nam</a></strong>
Theo các nhà bán lẻ, người dùng Việt đặt nhiều mẫu iPhone 11 Pro Max, phiên bản có giá cao hơn hai đàn em. Theo hệ thống CellphoneS, 53% số đơn đặt hàng thuộc về mẫu iPhone này, trong khi iPhone 11 là 36% nhờ có giá thấp nhất. Giống thị trường xách tay, <a href=""https://vnexpress.net/so-hoa/iphone-11-pro-khong-duoc-chuong-o-viet-nam-3994252.html"" rel=""dofollow"">iPhone 11 Pro</a>, model thay thế XS, cũn không được người dùng mặn mà bởi số lượng đặt hàng chỉ hơn 10%. 
iPhone 11 là thế hệ đầu tiên có 3 phiên bản khác nhau. Tuy nhiên, đây là ba model thay thế cho iPhone XR, XS và XS Max năm ngoái. 11 Pro Max là model cao cấp nhất với màn hình OLED 6,5 inch. Còn iPhone 11 Pro là phiên bản thu nhỏ bởi có camera 3 ống kính nhưng màn hình chỉ 5,8 inch. Cuối cùng là iPhone 11 có thiết kế giống iPhone XR nhưng có thêm camera ống kính siêu rộng như 2 mẫu Pro.",https://vnexpress.net/so-hoa/luong-dat-hang-iphone-11-vuot-19-000-may-sau-2-tuan-3995554.html
"Thứ bảy, 12/10/2019",['\nLượng đặt hàng iPhone 11 vượt 19.000 máy sau 2 tuần '],['Lượng đặt hàng bộ 3 iPhone 11 chính hãng tại Việt Nam đã rất cao dù chưa công bố giá và đầu tháng 11 mới bán ra thị trường.'],"
Đến trưa 11/10, trang web của hai hệ thống bán lẻ lớn nhất thị trường trong nước, Thế giới di động và FPT Shop, đã ghi nhận số lượng đơn hàng đặt mua ba mẫu iPhone 11 đã đạt 7.500 và 8.500. Số lượng đặt cọc bằng tiền cũng được gần 4.500 máy ở cả hai đơn vị. Hệ thống CelphoneS cũng được 1.500 đơn đặt cọc trong tổng số hơn 3.200 đơn đặt mua dòng iPhone 11.
So với năm ngoái, lượng đơn hàng mua bộ ba iPhone năm nay tăng mạnh hơn dù thông tin chính thức về giá hay ngày bán của các sản phẩm vẫn chưa có. Theo một số nhà bán lẻ, phải tới nửa cuối tháng 10, bộ ba sản phẩm này mới chốt giá chính thức và đầu tháng 11 mới về Việt Nam. 
Tổng đơn hàng của ba nhà bán lẻ trên không hề thua kém với bộ đôi <a href=""https://vnexpress.net/so-hoa/doanh-so-galaxy-note10-10-o-viet-nam-dat-ky-luc-cua-samsung-3971947.html"" rel=""dofollow"">Galaxy Note 10</a> của Samsung cuối tháng 8 vừa rồi. 
So với Galaxy Note 10 và Note 10+, iPhone 11 có nhiều phiên bản và giá bán cũng đắt hơn. Dòng sản phẩm này có ba mẫu: 11, 11 Pro và 11 Pro Max. Giá dự kiến từ 22 triệu đồng cho tới 44 triệu đồng. 
<strong><a href=""https://vnexpress.net/so-hoa/gia-iphone-11-chinh-hang-cao-nhat-44-trieu-dong-3980480.html"" rel=""dofollow"">Giá dự kiến iPhone 11 chính hãng ở Việt Nam</a></strong>
Theo các nhà bán lẻ, người dùng Việt đặt nhiều mẫu iPhone 11 Pro Max, phiên bản có giá cao hơn hai đàn em. Theo hệ thống CellphoneS, 53% số đơn đặt hàng thuộc về mẫu iPhone này, trong khi iPhone 11 là 36% nhờ có giá thấp nhất. Giống thị trường xách tay, <a href=""https://vnexpress.net/so-hoa/iphone-11-pro-khong-duoc-chuong-o-viet-nam-3994252.html"" rel=""dofollow"">iPhone 11 Pro</a>, model thay thế XS, cũn không được người dùng mặn mà bởi số lượng đặt hàng chỉ hơn 10%. 
iPhone 11 là thế hệ đầu tiên có 3 phiên bản khác nhau. Tuy nhiên, đây là ba model thay thế cho iPhone XR, XS và XS Max năm ngoái. 11 Pro Max là model cao cấp nhất với màn hình OLED 6,5 inch. Còn iPhone 11 Pro là phiên bản thu nhỏ bởi có camera 3 ống kính nhưng màn hình chỉ 5,8 inch. Cuối cùng là iPhone 11 có thiết kế giống iPhone XR nhưng có thêm camera ống kính siêu rộng như 2 mẫu Pro.",https://vnexpress.net/so-hoa/luong-dat-hang-iphone-11-vuot-19-000-may-sau-2-tuan-3995554.html
"Thứ năm, 10/10/2019",['\niPhone 11 Pro không được chuộng ở Việt Nam '],"['Một số cửa hàng đã ngừng bán iPhone 11 Pro dù model này cao cấp hơn iPhone 11 và có cấu hình, camera giống hệt 11 Pro Max.']","
Dù là một trong ba mẫu iPhone đời mới nhất của Apple và vừa lên kệ chưa đầy một tháng, iPhone 11 Pro lại tỏ ra lép vế trước đàn anh iPhone 11 Pro Max và đàn em iPhone 11. Một nhân viên cửa hàng điện thoại trên phố Thái Hà (Hà Nội) chia sẻ: ""Khách mua rất ít, giá lại cao, nên cửa hàng dừng nhập và kinh doanh iPhone 11 Pro"".
Một số cửa hàng khác ở Hà Nội và TP HCM vẫn bán model này nhưng dung lượng và màu sắc hạn chế. Một cửa hàng trên đường Cầu Giấy, Hà Nội, chỉ bán đúng phiên bản 64 GB. Các mẫu dung lượng cao hơn, 256 GB và 512 GB, phải đặt hàng và lấy sau.
Người dùng Việt Nam cũng không mặn mà với iPhone 11 Pro. Theo khảo sát của <em>VnExpress </em>từ ngày 13/9 với gần 1.000 độc giả, chỉ có 20% thích iPhone 11 Pro, iPhone 11 Pro Max được lựa chọn nhiều nhất với tỷ lệ 50% còn iPhone 11 là 30%.
Thực tế, trong bộ 3 iPhone mới, 11 Pro cũng là sản phẩm bán chậm nhất tại Việt Nam. Theo trưởng ngành hàng iPhone tại một hệ thống siêu thị lớn toàn quốc, doanh số của 11 Pro chưa tới 10%, nếu tính tổng cả ba model iPhone 11. Lý do là sản phẩm này giá quá cao so với iPhone 11 nhưng lại không khác biệt nhiều.
Trên thị trường, iPhone 11 Pro có giá 28 triệu đồng cho phiên bản 64 GB, thấp hơn 11 Pro Max khoảng 1,5 triệu đồng, nhưng lại đắt hơn iPhone 11 cùng dung lượng 8 triệu đồng. Theo nhiều cửa hàng, ở cùng tầm tiền, nhiều người đã lựa chọn iPhone XS Max đời trước thay vì 11 Pro vì màn hình, pin và dung lượng bộ nhớ đều cao hơn.
iPhone 11 Pro có cấu hình và camera 3 ống kính giống hệt iPhone 11 Pro Max, nhưng màn hình chỉ 5,8 inch, nhỏ hơn iPhone 11 và 11 Pro Max. Theo các chuyên gia công nghệ, sản phẩm là bản nâng cấp của iPhone XS ra mắt năm ngoái.
<strong><a href=""https://vnexpress.net/infographics/so-sanh-bo-ba-iphone-11-3980529.html"" rel=""dofollow"">So sánh bộ ba iPhone 11</a></strong>",https://vnexpress.net/so-hoa/iphone-11-pro-khong-duoc-chuong-o-viet-nam-3994252.html
"Thứ năm, 10/10/2019",['\niPhone 11 Pro không được chuộng ở Việt Nam '],"['Một số cửa hàng đã ngừng bán iPhone 11 Pro dù model này cao cấp hơn iPhone 11 và có cấu hình, camera giống hệt 11 Pro Max.']","
Dù là một trong ba mẫu iPhone đời mới nhất của Apple và vừa lên kệ chưa đầy một tháng, iPhone 11 Pro lại tỏ ra lép vế trước đàn anh iPhone 11 Pro Max và đàn em iPhone 11. Một nhân viên cửa hàng điện thoại trên phố Thái Hà (Hà Nội) chia sẻ: ""Khách mua rất ít, giá lại cao, nên cửa hàng dừng nhập và kinh doanh iPhone 11 Pro"".
Một số cửa hàng khác ở Hà Nội và TP HCM vẫn bán model này nhưng dung lượng và màu sắc hạn chế. Một cửa hàng trên đường Cầu Giấy, Hà Nội, chỉ bán đúng phiên bản 64 GB. Các mẫu dung lượng cao hơn, 256 GB và 512 GB, phải đặt hàng và lấy sau.
Người dùng Việt Nam cũng không mặn mà với iPhone 11 Pro. Theo khảo sát của <em>VnExpress </em>từ ngày 13/9 với gần 1.000 độc giả, chỉ có 20% thích iPhone 11 Pro, iPhone 11 Pro Max được lựa chọn nhiều nhất với tỷ lệ 50% còn iPhone 11 là 30%.
Thực tế, trong bộ 3 iPhone mới, 11 Pro cũng là sản phẩm bán chậm nhất tại Việt Nam. Theo trưởng ngành hàng iPhone tại một hệ thống siêu thị lớn toàn quốc, doanh số của 11 Pro chưa tới 10%, nếu tính tổng cả ba model iPhone 11. Lý do là sản phẩm này giá quá cao so với iPhone 11 nhưng lại không khác biệt nhiều.
Trên thị trường, iPhone 11 Pro có giá 28 triệu đồng cho phiên bản 64 GB, thấp hơn 11 Pro Max khoảng 1,5 triệu đồng, nhưng lại đắt hơn iPhone 11 cùng dung lượng 8 triệu đồng. Theo nhiều cửa hàng, ở cùng tầm tiền, nhiều người đã lựa chọn iPhone XS Max đời trước thay vì 11 Pro vì màn hình, pin và dung lượng bộ nhớ đều cao hơn.
iPhone 11 Pro có cấu hình và camera 3 ống kính giống hệt iPhone 11 Pro Max, nhưng màn hình chỉ 5,8 inch, nhỏ hơn iPhone 11 và 11 Pro Max. Theo các chuyên gia công nghệ, sản phẩm là bản nâng cấp của iPhone XS ra mắt năm ngoái.
<strong><a href=""https://vnexpress.net/infographics/so-sanh-bo-ba-iphone-11-3980529.html"" rel=""dofollow"">So sánh bộ ba iPhone 11</a></strong>",https://vnexpress.net/so-hoa/iphone-11-pro-khong-duoc-chuong-o-viet-nam-3994252.html
"Thứ tư, 9/10/2019",['\nNgười dùng iPhone 11 phàn nàn màn hình dễ xước '],['Các vết trày xước lạ xuất hiện trên màn hình dù iPhone 11 không rơi vỡ hay động chạm vào bất cứ vật nhọn cứng nào.'],"
Trên trang hỗ trợ sản phẩm và dịch vụ của Apple, hàng loạt người dùng phàn nàn về việc ba mẫu iPhone 11 dễ bị xước màn hình, hoàn toàn trái ngược với hứa hẹn trước đó của nhà sản xuất về một mẫu smartphone có ""kính cường lực cứng nhất từ trước tới giờ"". Những lời phàn nàn kéo dài tới 15 trang trên diễn đàn này.
""Sau một tuần sử dụng, chiếc iPhone 11 của tôi trông còn tệ hơn mẫu iPhone 7 đã dùng được ba năm. Tôi sẽ tới cửa hàng Apple để phản ánh. Tôi chưa mua gói bảo hành Apple Care nhưng với tình trạng này, rất có thể sẽ phải thay đổi quyết định. Nó không hề bị xước bởi vật nhọn hay kim loại, chỉ đơn giản là đặt trên bàn hay rút ra, vào khỏi túi quần"", một người có nickname <em>zero-or-one</em> cho biết.
Nhiều người khác cũng gặp tình trạng tương tự. Họ đều khẳng định mình chỉ để điện thoại trong túi, chưa hề đánh rơi hay để mặt kính tiếp xúc với các vật dễ gây trày xước. Tất cả xảy ra sau một thời gian ngắn, có thể sau một tháng, thậm chí một ngày sau khi mua về. ""Tôi chưa từng gặp vấn đề này với iPhone X"", một khách hàng khác có biệt danh <em>MatiasMB </em>cho biết.
Các blogger công nghệ nổi tiếng trên YouTube như JerryRigEverything và EverythingApplePro cho rằng ba mẫu iPhone 11 có độ bền cao chỉ khi được thử nghiệm trong phòng thí nghiệm. Họ cho biết có sự khác biệt rất lớn giữa những bài kiểm tra này với việc sử dụng của người dùng mỗi ngày, cho rằng màn hình của iPhone đang gặp vấn đề nghiêm trọng bởi kiểu trày xước này không phải tự nhiên mà có.
Vài năm trước, Apple đã hợp tác với GT Advanced Technologies để phát triển iPhone chống xước hoàn toàn. Thời điểm ấy, GT Advanced Technologies được cho là đã tạo ra kính sapphire chống xước với độ bền không tưởng trước khi tuyên bố bị phá sản. Tuy vậy, với những gì khách hàng đang trải nghiệm trên iPhone 11, công ty này được dự đoán là đã không đáp ứng được yêu cầu kỹ thuật từ Apple hoặc không cung cấp đủ lượng kính cho sản phẩm mới.
Tháng trước, Apple cũng cập nhật chính sách mới về việc thay màn hình cũng như pin cho iPhone. Nếu khách hàng đem điện thoại đi sửa ở điểm dịch vụ không phải của Apple hoặc được chính hãng uỷ quyền, linh kiện không phải do hãng cung cấp, điện thoại sẽ liên tục cảnh báo về độ an toàn đồng thời vô hiệu hoá một số tính năng nhất định.
Hiện tại, phí thay màn hình cho iPhone 11 là 199 USD (hơn 4,6 triệu đồng), iPhone 11 Pro là 279 USD (gần 6,5 triệu đồng) và 11 Pro Max là 329 USD (hơn 7,6 triệu đồng). Nếu mua gói bảo hành Apple Care+ với giá 199 USD, người dùng sẽ chỉ mất 29 USD để thay màn hình. Để đề phòng, người dùng nên dán màn hình cho các mẫu iPhone mới.
<strong>Đức Trí</strong>",https://vnexpress.net/so-hoa/nguoi-dung-iphone-11-phan-nan-man-hinh-de-xuoc-3994099.html
"Thứ tư, 9/10/2019",['\nNgười dùng iPhone 11 phàn nàn màn hình dễ xước '],['Các vết trày xước lạ xuất hiện trên màn hình dù iPhone 11 không rơi vỡ hay động chạm vào bất cứ vật nhọn cứng nào.'],"
Trên trang hỗ trợ sản phẩm và dịch vụ của Apple, hàng loạt người dùng phàn nàn về việc ba mẫu iPhone 11 dễ bị xước màn hình, hoàn toàn trái ngược với hứa hẹn trước đó của nhà sản xuất về một mẫu smartphone có ""kính cường lực cứng nhất từ trước tới giờ"". Những lời phàn nàn kéo dài tới 15 trang trên diễn đàn này.
""Sau một tuần sử dụng, chiếc iPhone 11 của tôi trông còn tệ hơn mẫu iPhone 7 đã dùng được ba năm. Tôi sẽ tới cửa hàng Apple để phản ánh. Tôi chưa mua gói bảo hành Apple Care nhưng với tình trạng này, rất có thể sẽ phải thay đổi quyết định. Nó không hề bị xước bởi vật nhọn hay kim loại, chỉ đơn giản là đặt trên bàn hay rút ra, vào khỏi túi quần"", một người có nickname <em>zero-or-one</em> cho biết.
Nhiều người khác cũng gặp tình trạng tương tự. Họ đều khẳng định mình chỉ để điện thoại trong túi, chưa hề đánh rơi hay để mặt kính tiếp xúc với các vật dễ gây trày xước. Tất cả xảy ra sau một thời gian ngắn, có thể sau một tháng, thậm chí một ngày sau khi mua về. ""Tôi chưa từng gặp vấn đề này với iPhone X"", một khách hàng khác có biệt danh <em>MatiasMB </em>cho biết.
Các blogger công nghệ nổi tiếng trên YouTube như JerryRigEverything và EverythingApplePro cho rằng ba mẫu iPhone 11 có độ bền cao chỉ khi được thử nghiệm trong phòng thí nghiệm. Họ cho biết có sự khác biệt rất lớn giữa những bài kiểm tra này với việc sử dụng của người dùng mỗi ngày, cho rằng màn hình của iPhone đang gặp vấn đề nghiêm trọng bởi kiểu trày xước này không phải tự nhiên mà có.
Vài năm trước, Apple đã hợp tác với GT Advanced Technologies để phát triển iPhone chống xước hoàn toàn. Thời điểm ấy, GT Advanced Technologies được cho là đã tạo ra kính sapphire chống xước với độ bền không tưởng trước khi tuyên bố bị phá sản. Tuy vậy, với những gì khách hàng đang trải nghiệm trên iPhone 11, công ty này được dự đoán là đã không đáp ứng được yêu cầu kỹ thuật từ Apple hoặc không cung cấp đủ lượng kính cho sản phẩm mới.
Tháng trước, Apple cũng cập nhật chính sách mới về việc thay màn hình cũng như pin cho iPhone. Nếu khách hàng đem điện thoại đi sửa ở điểm dịch vụ không phải của Apple hoặc được chính hãng uỷ quyền, linh kiện không phải do hãng cung cấp, điện thoại sẽ liên tục cảnh báo về độ an toàn đồng thời vô hiệu hoá một số tính năng nhất định.
Hiện tại, phí thay màn hình cho iPhone 11 là 199 USD (hơn 4,6 triệu đồng), iPhone 11 Pro là 279 USD (gần 6,5 triệu đồng) và 11 Pro Max là 329 USD (hơn 7,6 triệu đồng). Nếu mua gói bảo hành Apple Care+ với giá 199 USD, người dùng sẽ chỉ mất 29 USD để thay màn hình. Để đề phòng, người dùng nên dán màn hình cho các mẫu iPhone mới.
<strong>Đức Trí</strong>",https://vnexpress.net/so-hoa/nguoi-dung-iphone-11-phan-nan-man-hinh-de-xuoc-3994099.html
