date,title,description,content,link
"Thứ năm, 29/8/2019",['\nBộ đôi Galaxy Note 10/10+ đọ cấu hình cùng đàn anh '],['Samsung liên tục nâng cấp các máy trong dòng Galaxy Note về cả tính năng và phần cứng.'],,https://vnexpress.net/so-hoa/bo-doi-galaxy-note-10-10-do-cau-hinh-cung-dan-anh-3974612.html
"Thứ sáu, 15/12/2017",['\nTrải nghiệm trước Android 8.0 Oreo trên Galaxy Note8 '],['Người dùng Galaxy Note8 có thể trải nghiệm trước Android 8.0 Oreo mới nhất trong khi đợi bản chính thức từ Samsung.'],"
Samsung đã phát hành bản thử nghiệm (beta) của Android 8.0 Oreo cho Galaxy S8. Tuy nhiên, phiên bản Android mới nhất vẫn chưa được triển khai cho Note8. Nhưng nếu nóng lòng muốn trải nghiệm, người dùng có thể tải về một phiên bản tương tự trên GadgetHacks và tự mình khám phá những tính năng mới nhất của hệ điều hành này.
Trước khi cài đặt, người dùng cần chuẩn bị Galaxy Note8 phiên bản Mỹ (dùng vi xử lý Snapdragon), thẻ nhớ microSD và cài sẵn ứng dụng quản lý tệp (như Solid Explorer). Bởi không chính thức nên phiên bản này vẫn tồn tại một số lỗi, như không thể phóng to hình ảnh khi quay bằng camera, kính thực tế ảo Gear VR không hoạt động, thời lượng pin kém hơn, không tương thích với một số ứng dụng bên thứ ba… Do đó, trước khi quyết định cài, người dùng nên sao lưu dữ liệu.
Tiếp theo, tải về <a href=""https://samsung.firmware.science/download?url=48993/1488/SS-N950USQU2BQJA-to-S2BQK2-UP"" target=""_blank"">phần mềm Nougat BQK2</a> và lưu nó trên thẻ nhớ microSD. Sau đó, mở ứng dụng quản lý tệp và lưu lại với tên “update.zip”. Sau đó tắt Galaxy Note8 và bật lại ở chế độ phục hồi (Recovery Mode) bằng cách nhấn và giữ đồng thời 3 phím nguồn, âm lượng và Bixby trong vài giây, thả khi màn hình chuyển sang mày xanh và linh vật Android xuất hiện.
Sau khi các tùy chọn xuất hiện, dùng phím âm lượng chuyển đến “Apply update from SD card” (Áp dụng cập nhật từ thẻ nhớ SD) và nhấn phím nguồn để xác nhận. Ở menu mới, nhấn vào tệp “update.zip”. Sau đó, đợi thiết bị cài đặt và khởi động lại.
Bước tiếp theo là tải firmware của Oreo về <a href=""https://drive.google.com/file/d/1xTtsn6gcg4JEX2dYKPiXTWVhPiGPzIBn/view"" rel=""nofollow"">tại đây</a>, lưu lại với tên nào đó bạn muốn và thực hiện lại các bước đã nêu trên. Quá trình cài đặt hệ điều hành mới sẽ mất khoảng 10 phút. Sau đó thiết bị khởi động lại một lần nữa.
Như vậy, bạn đã có thể trải nghiệm trước hệ điều hành Android 8.0 Oreo trên Galaxy Note8. Đây là nền tảng được đánh giá có nhiều nâng cấp hơn so với Android 7.0 Nougat, như khả năng giới hạn ứng dụng chạy nền, tính năng Picture-in-Picture (PIP) giúp người dùng có thể tiếp tục xem video trong khi trả lời cuộc gọi, Adaptive Icons hỗ trợ các nhà phát triển có thể tạo biểu tượng tùy ý, hỗ trợ codec LDAC cho chất lượng âm thanh tốt hơn… Ngoài ra, hệ điều hành cũng tinh chỉnh, áp dụng các thuật toán mới hỗ trợ trải nghiệm người dùng tốt hơn, cũng như nâng cao hiệu suất thiết bị so với trước đó.
<strong>Lâm Anh</strong>",https://vnexpress.net/so-hoa/trai-nghiem-truoc-android-8-0-oreo-tren-galaxy-note8-3684995.html
"Thứ bảy, 25/11/2017",['\nCơ hội nhận Galaxy Note 8 khi mua sản phẩm Samsung '],"['Khách hàng mua sản phẩm tủ lạnh, điều hòa, máy giặt thương hiệu Samsung giá từ hai triệu đồng trở lên có cơ hội trúng Galaxy Note 8.']","
Từ nay đến 21/1/2018, khi mua bất kỳ sản phẩm tủ lạnh, điều hòa, máy giặt thương hiệu Samsung tại hệ thống siêu thị điện máy Pico với giá từ hai triệu đồng trở lên, khách hàng sẽ được tham gia chương trình khuyến mại “Bốc thăm trúng thưởng 10 siêu phẩm Galaxy Note 8”.",https://vnexpress.net/so-hoa/co-hoi-nhan-galaxy-note-8-khi-mua-san-pham-samsung-3675515.html
"Thứ năm, 12/10/2017",['\nGalaxy Note8 thắng áp đảo iPhone 8 Plus trong bình chọn camera '],"['Di động của Samsung cho màu sắc tươi hơn, sáng hơn và khả năng chụp trong tối cũng tốt hơn đối thủ.\xa0']","
<a href=""https://vnexpress.net/so-hoa/anh-chup-thu-tu-iphone-8-plus-va-galaxy-note-8-3653069.html"" style=""margin: 0px; padding: 0px; box-sizing: border-box; text-rendering: geometricPrecision; color: rgb(0, 79, 139); text-decoration-line: none;""><span style=""margin:0px;padding:0px;color:rgb(0,0,255);""><strong style=""margin:0px;padding:0px;"">Xem lại loạt ảnh chụp thử của hai máy</strong></span></a>",https://vnexpress.net/so-hoa/galaxy-note8-thang-ap-dao-iphone-8-plus-trong-binh-chon-camera-3654240.html
"Thứ hai, 9/10/2017",['\niPhone 8 Plus đọ camera với Galaxy Note8 '],['Cả hai đều sở hữu camera độ phân giải 12 megapixel. ống kính kép cùng khả năng chụp xóa phông như máy ảnh chuyên nghiệp.\xa0'],"
Galaxy Note8 ra mắt vào đầu tháng 8, sớm hơn đối thủ trực tiếp là iPhone 8 Plus đúng một tháng nhưng cả hai lại bán ra thị trường gần như cùng thời điểm. Đây là những model đối đầu trực tiếp với khá nhiều điểm tương đồng về cấu hình camera và tính năng nhấn mạnh nhất đều là khả năng chụp xóa phông ấn tượng. 
Cả hai cùng có độ phân giải camera là 12 megapixel nhưng Note8 có độ mở tốt hơn f/1.7 so với f/1.8 của iPhone 8 Plus. Di động của Samsung có ống kính góc rộng 26 mm, ống kính thứ hai là 52 mm f/2.4, hỗ trợ chống rung quang học, đèn flash LED hai tông màu. Trong khi đó, model của Apple có ống kính góc rộng 28 mm, ống kính thứ hai là 56 mm f/2.8, hỗ trợ lấy nét theo pha, 4 đèn flash. 
<a href=""https://vnexpress.net/so-hoa/anh-chup-thu-tu-iphone-8-plus-va-galaxy-note-8-3653069.html""><span style=""color:#0000ff;""><strong>Xem thêm ảnh chụp thử của hai máy</strong></span></a>
Ở các thử nghiệm, hai máy đều để chế độ chụp tự động, cài đặt mặc định, không bật hiệu ứng, lấy nét và đo sáng cùng vào một điểm, thời điểm và góc chụp gần tương đương. Cả hai máy đều tắt chế độ HDR (chỉ bật trong một số tình huống nhất định) và để tỷ lệ hình là 4:3 ở độ phân giải cao nhất hỗ trợ (12 megapixel).
Ảnh chụp từ hai máy được thu về cùng một kích thước (chiều ngang 1.200 pixel) nhưng giữ nguyên chất lượng ảnh cũng như ẩn thông tin Exif. Để đảm bảo tính công bằng, tên các máy được giấu kín.
Độc giả sẽ bình chọn model chụp đẹp nhất dựa trên loạt ảnh chụp thử mà không bị ảnh hưởng bởi thương hiệu sản phẩm.",https://vnexpress.net/so-hoa/iphone-8-plus-do-camera-voi-galaxy-note8-3653082.html
"Thứ tư, 4/10/2017",['\nNên mua Galaxy Note8 hay chờ iPhone X? '],"['Điện thoại của em mới hỏng, chưa biết nên dùng hàng Samsung hay chờ điện thoại mới của Apple.']","
iPhone 7 Plus của em vừa bị rơi, hỏng nên hiện tại em không có điện thoại dùng. Nếu chuyển sang iPhone 8 Plus thì em thấy không đáng lắm vì kiểu dáng máy không đổi, dĩ nhiên có thể sẽ là chụp ảnh đẹp hơn, camera tốt hơn nhưng chắc trải nghiệm sẽ tương đương thôi.
<span>Em đang phân phân có nên chuyển sang Galaxy Note8 không, bởi thấy điện thoại này khá đẹp, màn hình lung linh, camera được nhiều người khen. Em chưa dùng Android nên chắc sẽ cần làm quen đôi chút, nhưng không biết liệu Android có chạy ổn định như iOS không?</span>
Lựa chọn thứ hai của em là dùng tạm một chiếc iPhone cũ, rồi chờ iPhone X. Thú thực là cũng không biết chờ đến khi nào bởi đến giờ máy còn chưa bán ở Mỹ, chẳng biết khi nào mới về đến Việt Nam. Mà có hàng ở trong nước em cũng sợ giá đợt đầu cao lắm, 40-50 triệu thì chắc em không mua nổi.
<span>Xin mọi người cho em lời khuyên. Em xin cảm ơn!</span>
<strong>Hồng Trúc</strong><br/><em>truclts3...@gmail.com</em>",https://vnexpress.net/so-hoa/nen-mua-galaxy-note8-hay-cho-iphone-x-3650859.html
"Thứ ba, 3/10/2017",['\nSmartphone camera kép giá hơn 8 triệu đồng của Samsung '],"['Galaxy J7+ kế thừa tính năng giống Galaxy Note 8 như camera kép, trợ lý ảo Bixby nhưng có giá tầm trung.']",,https://vnexpress.net/so-hoa/smartphone-camera-kep-gia-hon-8-trieu-dong-cua-samsung-3650052.html
"Thứ sáu, 29/9/2017",['\nNhững khách hàng đầu tiên trải nghiệm Galaxy Note8 '],['Phablet mới của Samsung thu hút đông đảo quan tâm của người dùng với 40.000 đơn đặt hàng trước tại Việt Nam.'],"
<strong> Bảo Lâm - Đình Nam</strong>",https://vnexpress.net/so-hoa/nhung-khach-hang-dau-tien-trai-nghiem-galaxy-note8-3648744.html
"Thứ sáu, 29/9/2017",['\nNgười mua chờ từ 6h sáng để nhận Galaxy Note8 '],"['Từ sáng sớm, nhiều người đặt trước đã đến các đại lý để nhận Galaxy Note8 - smartphone chạy Android được chờ đón nhất nửa cuối năm 2017.']","
Chính thức được công bố ở Việt Nam ngày 13/9, sau hai tuần, điện thoại của Samsung bắt đầu được bán ra với giá 22,49 triệu đồng.
Tại điểm bán hàng Viettel Store TP HCM, khách đến lấy máy đặt trước từ sớm. Dù 8h mới mở cửa, một số người đã đến chờ từ 6h ngày 29/9.
Anh Phú (Quận 10, TP HCM) cho biết, dù đang sử dụng iPhone, anh vẫn thích Note8 vì bút S Pen hỗ trợ công việc nhiều hơn: ""Tôi đã đặt hàng từ khi Samsung mở bán và hồi hộp muốn dùng ngay lập tức. Sáng nay tôi xin nghỉ làm để đi mua Note8"".
Tại Thế giới di động (Quận 1, TP HCM), không khí còn náo nhiệt hơn. Khách hàng đến từ sớm dù 9h mới chính thức đón khách. Theo anh Hải, quản lý cửa hàng, số lượng đặt Note8 riêng tại đây là 70 máy và hiện đã giao hơn 40 máy. Số còn lại dự kiến giao hết trong hôm nay.
Đại diện cửa hàng này cho biết đã nhận được 1.100 đơn đặt trước Note8 (có đặt cọc ít nhất 500.000 đồng) trong khi trước đó Note 7 có 700 đơn đặt trước và Galaxy S8 là 800 máy. Sự quan tâm dành cho Note8 vượt xa kỳ vọng và hiện khách muốn mua phải đặt trước nhưng chưa biết khi nào sẽ giao hàng.
Anh Nguyên Văn Hiếu (Đống Đa, Hà Nội) là một trong những khách hàng đầu tiên nhận Note8. Anh cho biết trước đó, anh dùng Galaxy Note 7 nhưng sau đợt thu hồi máy, anh chuyển tạm sang Galaxy A5 để chờ thế hệ Galaxy Note mới ra đời. Là giám đốc một công ty trong lĩnh vực vận tải, anh thích một thiết bị tin cậy, cao cấp và tích hợp nhiều công nghệ.
Anh Hoàng Đức Thái cũng là một tín đồ của dòng Note. Anh chuyển từ Note 4 sang sau khi trả lại Note 7 đợt thu hồi cuối năm ngoái. Theo anh Thái, Note là dòng sản phẩm tốt nhất chạy hệ điều hành Android, không bị gò bó, giới hạn như iOS nên phục vụ tốt cho công việc bảo hiểm của anh.
Chị Thuỳ Vân chọn Galaxy Note8 sau khi đã dùng nhiều sản phẩm của Samsung dù chiếc smartphone này khá lớn với màn hình 6,3 inch cùng thiết kế nam tính.
Khách hàng được giới thiệu và hướng dẫn về Samsung Pay, dịch vụ thanh toán không cần thẻ của hãng Hàn Quốc.
Xét về thông số, Galaxy Note8 là smartphone ấn tượng nhất của Samsung với màn hình được nâng lên tới 6,3 inch, phù hợp cho việc sử dụng bút S Pen tự nhiên và thoải mái hơn, camera kép hỗ trợ chụp xóa phông như iPhone 7 Plus cùng chế độ Dual Capture... Tại Việt Nam, Galaxy Note8 được nhiều hệ thống bán lẻ bán với giá 22,49 triệu đồng kèm nhiều quà tặng. Tuy vậy, việc tặng quà mỗi nơi mỗi khác cả về loại quà lẫn giá trị của chúng.
Ông Nguyễn Quang Hiền Huy – Phó tổng giám đốc – Giám đốc điều hành ngành hàng Thiết bị di động công ty Điện tử Samsung Vina (bên trái), cho biết: ""Galaxy Note8 là sản phẩm có tốc độ đặt hàng trước nhanh nhất từ trước đến nay của chúng tôi. Ngay từ khi chưa công bố giá bán chính thức, chúng tôi đã nhận được 15.000 đơn hàng. Hiện lượng đơn hàng riêng ở Việt Nam được ghi nhận là hơn 40.000"". Ông cũng chia sẻ thêm, việc đặt hàng nhiều hơn so với mong đợi đã dẫn đến tình trạng ""cháy hàng"" tại Việt Nam. Samsung đang tập trung giao hết số máy mà khách hàng đã đặt đợt đầu trước khi mang về Việt Nam những chiếc Note8 với màu sắc mới trong ""tương lai gần"".",https://vnexpress.net/so-hoa/nguoi-mua-cho-tu-6h-sang-de-nhan-galaxy-note8-3648347.html
"Thứ năm, 28/9/2017",['\nGalaxy Note8 chưa bán đã khan hàng ở Việt Nam '],['Người mua có thể phải đợi tới giữa tháng 10 mới nhận máy khi nhiều hệ thống cho biết không còn đủ Galaxy Note8 để giao trong ngày 29/9.'],"
<span>Ngày mai (29/9), </span><span>Galaxy Note8 sẽ chính thức có mặt ở thị trường Việt Nam. Nhưng </span><span>3 ngày trước, một cửa hàng trên phố Thái Hà (Hà Nội) đã thông báo tới những khách mới đặt mua Note8 là giữa tháng 10 mới được nhận máy. Một </span><span>cửa hàng khác ở phố Huế (Hà Nội) cũng xác nhận, tùy vào thời điểm đặt mua máy sớm hay muộn mà người dùng nhận máy nhanh hay chậm. Những người mới mua, tới tận 8/10 mới có máy. </span>
<span>Nhiều cửa hàng và hệ thống siêu thị điện thoại cho biết, họ đang lo Galaxy Note8 năm nay sẽ “cháy hàng”, không có đủ để giao cho khách đặt mua trước. Thậm chí, càng sát ngày mở bán, khách đặt mua lại càng tăng. Theo hệ thống CellphoneS, số lượng Galaxy Note8 đặt mua trước của họ đã vượt quá dự tính 60%, vì thế, giờ người đặt và mua mới cũng chưa có thời điểm giao máy cụ thể.</span>
Trong khi đó, Thế Giới Di Động cho hay họ đang phải hãm lại đơn đặt hàng Galaxy Note8 vì lo ngại cầu vượt cung <span>quá nhiều</span><span>. Tính đến 27/9, hệ thống này đã có khoảng 6.300 đơn đặt hàng, dù chưa bằng bộ đôi Galaxy S8 và S8 Plus đầu năm nhưng đã tăng hơn 30% so với Galaxy Note 7 năm ngoái. Còn nếu tính theo tỷ lệ người dùng đã đặt cọc tiền, Galaxy Note8 là smartphone có lượng đặt tiền cao kỷ lục, đạt tới hơn 85%, tương đương với khoảng 5.400 máy.</span>
Lượng đặt hàng tại hệ thống FPT Shop cũng gần 6.400 sản phẩm và đơn vị này cho biết phải tung ra chương trình đặt hàng thứ hai, rồi thứ ba vì chương trình đầu tiên nhanh chóng hoàn thành đủ số lượng. Đây là điều rất hiếm gặp đối với các smartphone cao cấp ở thị trường Việt Nam thời gian gần đây.
Có nhiều lý do khiến cho Galaxy Note8 trở thành “ngôi sao” trên thị trường smartphone hiện giờ. Bản thân sản phẩm này đã hấp dẫn người dùng nhờ các công nghệ, tính năng mới nhưng vẫn được Samsung và các nhà bán lẻ mạnh tay đầu tư kích cầu. Với mức niêm yết 22,5 triệu đồng, Galaxy Note8 là smartphone đắt nhất của Samsung nhưng cũng là điện thoại được ưu đãi nhiều nhất, ông Nguyễn Lạc Huy, trưởng phòng truyền thông một hệ thống bán lẻ nhận xét.
Ngoài những quà tặng của hãng như ốp lưng, sạc không dây hay gói bảo hiểm, ưu đãi, các cửa hàng còn chạy đua về số lượng quà mà họ tự tặng thêm nhằm lôi kéo khách hàng từ loa di động, pin dự phòng cho tới nhiều món phụ kiện khác. Giá trị của những quà tặng kèm theo với Galaxy Note 8 có thể lên tới 4 đến 5 triệu đồng.
Trương Tuấn (TP HCM), một tín đồ của dòng máy Galaxy Note, cho rằng màn khởi động thành công của Galaxy Note8 năm nay còn nhờ “thiên thời, địa lợi”. Phân khúc smartphone cao cấp ở Việt Nam không còn nhiều tên tuổi lớn theo đuổi, mà chỉ là cuộc đua song mã riêng của Samsung và Apple. Tuy nhiên, iPhone 7 và 7 Plus đã cũ để so sánh với Galaxy Note8 còn bộ đôi iPhone 8 vừa ra mắt, nhưng thời điểm bán chính thức ở Việt Nam vẫn còn lâu nữa. Vì thế, Galaxy Note8 đương nhiên là smartphone nổi bật nhất hiện giờ.
<span>Tuy nhiên, Galaxy Note8 ở thị trường xách tay lại không chung cảnh với hàng chính hãng. Sau khi xuất hiện hồi giữa tháng 9 với giá khá cao 21 đến 22 triệu đồng, sản phẩm này liên tục hạ giá. Tại một cửa hàng ở quận Thủ Đức (TP HCM), máy xách tay từ thị trường Hàn Quốc đang được bán ra với giá dưới 17 triệu đồng, thấp hơn niêm yết chính hãng tới 5,5 triệu đồng.</span>
Đại diện cửa hàng cho biết việc giảm giá là do nguồn hàng từ thị trường nước ngoài có mức giá tốt chứ không phải do việc hàng chính hàng sắp mở bán và có nhiều ưu đãi. Tuy nhiên, theo một người chơi công nghệ, việc giảm giá còn do Galaxy Note8 năm nay có nhiều khác biệt giữa hàng chính hãng và xách tay. Đối với phiên bản phân phối ở Việt Nam, ngoài việc có nhiều phụ kiện tặng theo còn là phiên bản hỗ trợ 2 sim, hỗ trợ ứng dụng Galaxy Gift và tính năng Samsung Pay. <span>Trong khi đó, bản xách tay giá rẻ hơn chủ yếu là phiên bản một sim và không sử dụng được một số tính năng, ứng dụng độc quyền của Samsung. Lợi thế của hàng xách tay là việc thêm tuỳ chọn sử dụng chip Snapdragon 835, bộ nhớ cao hơn và có cả màu tím khói và xanh, trong khi hàng chính hãng chỉ có màu đen và vàng.</span>",https://vnexpress.net/so-hoa/galaxy-note8-chua-ban-da-khan-hang-o-viet-nam-3647567.html
